"Id","Species"
"sample_285","species5"
"sample_286","species1"
"sample_287","species2"
"sample_288","species3"
"sample_289","species4"
"sample_290","species5"
"sample_291","species1"
"sample_292","species2"
"sample_293","species3"
"sample_294","species4"
"sample_295","species5"
"sample_296","species1"
"sample_297","species2"
"sample_298","species3"
"sample_299","species4"
"sample_300","species5"
"sample_301","species1"
"sample_302","species2"
"sample_303","species3"
"sample_304","species4"
"sample_305","species5"
"sample_306","species1"
"sample_307","species2"
"sample_308","species3"
"sample_309","species4"
"sample_310","species5"
"sample_311","species1"
"sample_312","species2"
"sample_313","species3"
"sample_314","species4"
"sample_315","species5"
"sample_316","species1"
"sample_317","species2"
"sample_318","species3"
"sample_319","species4"
"sample_320","species5"
"sample_321","species1"
"sample_322","species2"
"sample_323","species3"
"sample_324","species4"
"sample_325","species5"
"sample_326","species1"
"sample_327","species2"
"sample_328","species3"
"sample_329","species4"
"sample_330","species5"
"sample_331","species1"
"sample_332","species2"
"sample_333","species3"
"sample_334","species4"
"sample_335","species5"
"sample_336","species1"
"sample_337","species2"
"sample_338","species3"
"sample_339","species4"
"sample_340","species5"
"sample_341","species1"
"sample_342","species2"
"sample_343","species3"
"sample_344","species4"
"sample_345","species5"
"sample_346","species1"
"sample_347","species2"
"sample_348","species3"
"sample_349","species4"
"sample_350","species5"
"sample_351","species1"
"sample_352","species2"
"sample_353","species3"
"sample_354","species4"
"sample_355","species5"
"sample_356","species1"
"sample_357","species2"
"sample_358","species3"
"sample_359","species4"
"sample_360","species5"
"sample_361","species1"
"sample_362","species2"
"sample_363","species3"
"sample_364","species4"
"sample_365","species5"
"sample_366","species1"
"sample_367","species2"
"sample_368","species3"
"sample_369","species4"
"sample_370","species5"
"sample_371","species1"
"sample_372","species2"
"sample_373","species3"
"sample_374","species4"
"sample_375","species5"
"sample_376","species1"
"sample_377","species2"
"sample_378","species3"
"sample_379","species4"
"sample_380","species5"
"sample_381","species1"
"sample_382","species2"
"sample_383","species3"
"sample_384","species4"
"sample_385","species5"
"sample_386","species1"
"sample_387","species2"
"sample_388","species3"
"sample_389","species4"
"sample_390","species5"
"sample_391","species1"
"sample_392","species2"
"sample_393","species3"
"sample_394","species4"
"sample_395","species5"
"sample_396","species1"
"sample_397","species2"
"sample_398","species3"
"sample_399","species4"
"sample_400","species5"
"sample_401","species1"
"sample_402","species2"
"sample_403","species3"
"sample_404","species4"
"sample_405","species5"
"sample_406","species1"
"sample_407","species2"
"sample_408","species3"
"sample_409","species4"
"sample_410","species5"
"sample_411","species1"
"sample_412","species2"
"sample_413","species3"
"sample_414","species4"
"sample_415","species5"
"sample_416","species1"
"sample_417","species2"
"sample_418","species3"
"sample_419","species4"
"sample_420","species5"
"sample_421","species1"
"sample_422","species2"
"sample_423","species3"
"sample_424","species4"
"sample_425","species5"
"sample_426","species1"
"sample_427","species2"
"sample_428","species3"
"sample_429","species4"
"sample_430","species5"
"sample_431","species1"
"sample_432","species2"
"sample_433","species3"
"sample_434","species4"
"sample_435","species5"
"sample_436","species1"
"sample_437","species2"
"sample_438","species3"
"sample_439","species4"
"sample_440","species5"
"sample_441","species1"
"sample_442","species2"
"sample_443","species3"
"sample_444","species4"
"sample_445","species5"
"sample_446","species1"
"sample_447","species2"
"sample_448","species3"
"sample_449","species4"
"sample_450","species5"
"sample_451","species1"
"sample_452","species2"
"sample_453","species3"
"sample_454","species4"
"sample_455","species5"
"sample_456","species1"
"sample_457","species2"
"sample_458","species3"
"sample_459","species4"
"sample_460","species5"
"sample_461","species1"
"sample_462","species2"
"sample_463","species3"
"sample_464","species4"
"sample_465","species5"
"sample_466","species1"
"sample_467","species2"
"sample_468","species3"
"sample_469","species4"
"sample_470","species5"
"sample_471","species1"
"sample_472","species2"
"sample_473","species3"
"sample_474","species4"
"sample_475","species5"
"sample_476","species1"
"sample_477","species2"
"sample_478","species3"
"sample_479","species4"
"sample_480","species5"
"sample_481","species1"
"sample_482","species2"
"sample_483","species3"
"sample_484","species4"
"sample_485","species5"
"sample_486","species1"
"sample_487","species2"
"sample_488","species3"
"sample_489","species4"
"sample_490","species5"
"sample_491","species1"
"sample_492","species2"
"sample_493","species3"
"sample_494","species4"
"sample_495","species5"
"sample_496","species1"
"sample_497","species2"
"sample_498","species3"
"sample_499","species4"
"sample_500","species5"
"sample_501","species1"
"sample_502","species2"
"sample_503","species3"
"sample_504","species4"
"sample_505","species5"
"sample_506","species1"
"sample_507","species2"
"sample_508","species3"
"sample_509","species4"
"sample_510","species5"
"sample_511","species1"
"sample_512","species2"
"sample_513","species3"
"sample_514","species4"
"sample_515","species5"
"sample_516","species1"
"sample_517","species2"
"sample_518","species3"
"sample_519","species4"
"sample_520","species5"
"sample_521","species1"
"sample_522","species2"
"sample_523","species3"
"sample_524","species4"
"sample_525","species5"
"sample_526","species1"
"sample_527","species2"
"sample_528","species3"
"sample_529","species4"
"sample_530","species5"
"sample_531","species1"
"sample_532","species2"
"sample_533","species3"
"sample_534","species4"
"sample_535","species5"
"sample_536","species1"
"sample_537","species2"
"sample_538","species3"
"sample_539","species4"
"sample_540","species5"
"sample_541","species1"
"sample_542","species2"
"sample_543","species3"
"sample_544","species4"
"sample_545","species5"
"sample_546","species1"
"sample_547","species2"
"sample_548","species3"
"sample_549","species4"
"sample_550","species5"
"sample_551","species1"
"sample_552","species2"
"sample_553","species3"
"sample_554","species4"
"sample_555","species5"
"sample_556","species1"
"sample_557","species2"
"sample_558","species3"
"sample_559","species4"
"sample_560","species5"
"sample_561","species1"
"sample_562","species2"
"sample_563","species3"
"sample_564","species4"
"sample_565","species5"
"sample_566","species1"
"sample_567","species2"
"sample_568","species3"
"sample_569","species4"
"sample_570","species5"
"sample_571","species1"
"sample_572","species2"
"sample_573","species3"
"sample_574","species4"
"sample_575","species5"
"sample_576","species1"
"sample_577","species2"
"sample_578","species3"
"sample_579","species4"
"sample_580","species5"
"sample_581","species1"
"sample_582","species2"
"sample_583","species3"
"sample_584","species4"
"sample_585","species5"
"sample_586","species1"
"sample_587","species2"
"sample_588","species3"
"sample_589","species4"
"sample_590","species5"
"sample_591","species1"
"sample_592","species2"
"sample_593","species3"
"sample_594","species4"
"sample_595","species5"
"sample_596","species1"
"sample_597","species2"
"sample_598","species3"
"sample_599","species4"
"sample_600","species5"
"sample_601","species1"
"sample_602","species2"
"sample_603","species3"
"sample_604","species4"
"sample_605","species5"
"sample_606","species1"
"sample_607","species2"
"sample_608","species3"
"sample_609","species4"
"sample_610","species5"
"sample_611","species1"
"sample_612","species2"
"sample_613","species3"
"sample_614","species4"
"sample_615","species5"
"sample_616","species1"
"sample_617","species2"
"sample_618","species3"
"sample_619","species4"
"sample_620","species5"
"sample_621","species1"
"sample_622","species2"
"sample_623","species3"
"sample_624","species4"
"sample_625","species5"
"sample_626","species1"
"sample_627","species2"
"sample_628","species3"
"sample_629","species4"
"sample_630","species5"
"sample_631","species1"
"sample_632","species2"
"sample_633","species3"
"sample_634","species4"
"sample_635","species5"
"sample_636","species1"
"sample_637","species2"
"sample_638","species3"
"sample_639","species4"
"sample_640","species5"
"sample_641","species1"
"sample_642","species2"
"sample_643","species3"
"sample_644","species4"
"sample_645","species5"
"sample_646","species1"
"sample_647","species2"
"sample_648","species3"
"sample_649","species4"
"sample_650","species5"
"sample_651","species1"
"sample_652","species2"
"sample_653","species3"
"sample_654","species4"
"sample_655","species5"
"sample_656","species1"
"sample_657","species2"
"sample_658","species3"
"sample_659","species4"
"sample_660","species5"
"sample_661","species1"
"sample_662","species2"
"sample_663","species3"
"sample_664","species4"
"sample_665","species5"
"sample_666","species1"
"sample_667","species2"
"sample_668","species3"
"sample_669","species4"
"sample_670","species5"
"sample_671","species1"
"sample_672","species2"
"sample_673","species3"
"sample_674","species4"
"sample_675","species5"
"sample_676","species1"
"sample_677","species2"
"sample_678","species3"
"sample_679","species4"
"sample_680","species5"
"sample_681","species1"
"sample_682","species2"
"sample_683","species3"
"sample_684","species4"
"sample_685","species5"
"sample_686","species1"
"sample_687","species2"
"sample_688","species3"
"sample_689","species4"
"sample_690","species5"
"sample_691","species1"
"sample_692","species2"
"sample_693","species3"
"sample_694","species4"
"sample_695","species5"
"sample_696","species1"
"sample_697","species2"
"sample_698","species3"
"sample_699","species4"
"sample_700","species5"
"sample_701","species1"
"sample_702","species2"
"sample_703","species3"
"sample_704","species4"
"sample_705","species5"
"sample_706","species1"
"sample_707","species2"
"sample_708","species3"
"sample_709","species4"
"sample_710","species5"
"sample_711","species1"
"sample_712","species2"
"sample_713","species3"
"sample_714","species4"
"sample_715","species5"
"sample_716","species1"
"sample_717","species2"
"sample_718","species3"
"sample_719","species4"
"sample_720","species5"
"sample_721","species1"
"sample_722","species2"
"sample_723","species3"
"sample_724","species4"
"sample_725","species5"
"sample_726","species1"
"sample_727","species2"
"sample_728","species3"
"sample_729","species4"
"sample_730","species5"
"sample_731","species1"
"sample_732","species2"
"sample_733","species3"
"sample_734","species4"
"sample_735","species5"
"sample_736","species1"
"sample_737","species2"
"sample_738","species3"
"sample_739","species4"
"sample_740","species5"
"sample_741","species1"
"sample_742","species2"
"sample_743","species3"
"sample_744","species4"
"sample_745","species5"
"sample_746","species1"
"sample_747","species2"
"sample_748","species3"
"sample_749","species4"
"sample_750","species5"
"sample_751","species1"
"sample_752","species2"
"sample_753","species3"
"sample_754","species4"
"sample_755","species5"
"sample_756","species1"
"sample_757","species2"
"sample_758","species3"
"sample_759","species4"
"sample_760","species5"
"sample_761","species1"
"sample_762","species2"
"sample_763","species3"
"sample_764","species4"
"sample_765","species5"
"sample_766","species1"
"sample_767","species2"
"sample_768","species3"
"sample_769","species4"
"sample_770","species5"
"sample_771","species1"
"sample_772","species2"
"sample_773","species3"
"sample_774","species4"
"sample_775","species5"
"sample_776","species1"
"sample_777","species2"
"sample_778","species3"
"sample_779","species4"
"sample_780","species5"
"sample_781","species1"
"sample_782","species2"
"sample_783","species3"
"sample_784","species4"
"sample_785","species5"
"sample_786","species1"
"sample_787","species2"
"sample_788","species3"
"sample_789","species4"
"sample_790","species5"
"sample_791","species1"
"sample_792","species2"
"sample_793","species3"
"sample_794","species4"
"sample_795","species5"
"sample_796","species1"
"sample_797","species2"
"sample_798","species3"
"sample_799","species4"
"sample_800","species5"
"sample_801","species1"
"sample_802","species2"
"sample_803","species3"
"sample_804","species4"
"sample_805","species5"
"sample_806","species1"
"sample_807","species2"
"sample_808","species3"
"sample_809","species4"
"sample_810","species5"
"sample_811","species1"
"sample_812","species2"
"sample_813","species3"
"sample_814","species4"
"sample_815","species5"
"sample_816","species1"
"sample_817","species2"
"sample_818","species3"
"sample_819","species4"
"sample_820","species5"
"sample_821","species1"
"sample_822","species2"
"sample_823","species3"
"sample_824","species4"
"sample_825","species5"
"sample_826","species1"
"sample_827","species2"
"sample_828","species3"
"sample_829","species4"
"sample_830","species5"
"sample_831","species1"
"sample_832","species2"
"sample_833","species3"
"sample_834","species4"
"sample_835","species5"
"sample_836","species1"
"sample_837","species2"
"sample_838","species3"
"sample_839","species4"
"sample_840","species5"
"sample_841","species1"
"sample_842","species2"
"sample_843","species3"
"sample_844","species4"
"sample_845","species5"
"sample_846","species1"
"sample_847","species2"
"sample_848","species3"
"sample_849","species4"
"sample_850","species5"
"sample_851","species1"
"sample_852","species2"
"sample_853","species3"
"sample_854","species4"
"sample_855","species5"
"sample_856","species1"
"sample_857","species2"
"sample_858","species3"
"sample_859","species4"
"sample_860","species5"
"sample_861","species1"
"sample_862","species2"
"sample_863","species3"
"sample_864","species4"
"sample_865","species5"
"sample_866","species1"
"sample_867","species2"
"sample_868","species3"
"sample_869","species4"
"sample_870","species5"
"sample_871","species1"
"sample_872","species2"
"sample_873","species3"
"sample_874","species4"
"sample_875","species5"
"sample_876","species1"
"sample_877","species2"
"sample_878","species3"
"sample_879","species4"
"sample_880","species5"
"sample_881","species1"
"sample_882","species2"
"sample_883","species3"
"sample_884","species4"
"sample_885","species5"
"sample_886","species1"
"sample_887","species2"
"sample_888","species3"
"sample_889","species4"
"sample_890","species5"
"sample_891","species1"
"sample_892","species2"
"sample_893","species3"
"sample_894","species4"
"sample_895","species5"
"sample_896","species1"
"sample_897","species2"
"sample_898","species3"
"sample_899","species4"
"sample_900","species5"
"sample_901","species1"
"sample_902","species2"
"sample_903","species3"
"sample_904","species4"
"sample_905","species5"
"sample_906","species1"
"sample_907","species2"
"sample_908","species3"
"sample_909","species4"
"sample_910","species5"
"sample_911","species1"
"sample_912","species2"
"sample_913","species3"
"sample_914","species4"
"sample_915","species5"
"sample_916","species1"
"sample_917","species2"
"sample_918","species3"
"sample_919","species4"
"sample_920","species5"
"sample_921","species1"
"sample_922","species2"
"sample_923","species3"
"sample_924","species4"
"sample_925","species5"
"sample_926","species1"
"sample_927","species2"
"sample_928","species3"
"sample_929","species4"
"sample_930","species5"
"sample_931","species1"
"sample_932","species2"
"sample_933","species3"
"sample_934","species4"
"sample_935","species5"
"sample_936","species1"
"sample_937","species2"
"sample_938","species3"
"sample_939","species4"
"sample_940","species5"
"sample_941","species1"
"sample_942","species2"
"sample_943","species3"
"sample_944","species4"
"sample_945","species5"
"sample_946","species1"
"sample_947","species2"
"sample_948","species3"
"sample_949","species4"
"sample_950","species5"
"sample_951","species1"
"sample_952","species2"
"sample_953","species3"
"sample_954","species4"
"sample_955","species5"
"sample_956","species1"
"sample_957","species2"
"sample_958","species3"
"sample_959","species4"
"sample_960","species5"
"sample_961","species1"
"sample_962","species2"
"sample_963","species3"
"sample_964","species4"
"sample_965","species5"
"sample_966","species1"
"sample_967","species2"
"sample_968","species3"
"sample_969","species4"
"sample_970","species5"
"sample_971","species1"
"sample_972","species2"
"sample_973","species3"
"sample_974","species4"
"sample_975","species5"
"sample_976","species1"
"sample_977","species2"
"sample_978","species3"
"sample_979","species4"
"sample_980","species5"
"sample_981","species1"
"sample_982","species2"
"sample_983","species3"
"sample_984","species4"
"sample_985","species5"
"sample_986","species1"
"sample_987","species2"
"sample_988","species3"
"sample_989","species4"
"sample_990","species5"
"sample_991","species1"
"sample_992","species2"
"sample_993","species3"
"sample_994","species4"
"sample_995","species5"
"sample_996","species1"
"sample_997","species2"
"sample_998","species3"
"sample_999","species4"
"sample_1000","species5"
"sample_1001","species1"
"sample_1002","species2"
"sample_1003","species3"
"sample_1004","species4"
"sample_1005","species5"
"sample_1006","species1"
"sample_1007","species2"
"sample_1008","species3"
"sample_1009","species4"
"sample_1010","species5"
"sample_1011","species1"
"sample_1012","species2"
"sample_1013","species3"
"sample_1014","species4"
"sample_1015","species5"
"sample_1016","species1"
"sample_1017","species2"
"sample_1018","species3"
"sample_1019","species4"
"sample_1020","species5"
"sample_1021","species1"
"sample_1022","species2"
"sample_1023","species3"
"sample_1024","species4"
"sample_1025","species5"
"sample_1026","species1"
"sample_1027","species2"
"sample_1028","species3"
"sample_1029","species4"
"sample_1030","species5"
"sample_1031","species1"
"sample_1032","species2"
"sample_1033","species3"
"sample_1034","species4"
"sample_1035","species5"
"sample_1036","species1"
"sample_1037","species2"
"sample_1038","species3"
"sample_1039","species4"
"sample_1040","species5"
"sample_1041","species1"
"sample_1042","species2"
"sample_1043","species3"
"sample_1044","species4"
"sample_1045","species5"
"sample_1046","species1"
"sample_1047","species2"
"sample_1048","species3"
"sample_1049","species4"
"sample_1050","species5"
"sample_1051","species1"
"sample_1052","species2"
"sample_1053","species3"
"sample_1054","species4"
"sample_1055","species5"
"sample_1056","species1"
"sample_1057","species2"
"sample_1058","species3"
"sample_1059","species4"
"sample_1060","species5"
"sample_1061","species1"
"sample_1062","species2"
"sample_1063","species3"
"sample_1064","species4"
"sample_1065","species5"
"sample_1066","species1"
"sample_1067","species2"
"sample_1068","species3"
"sample_1069","species4"
"sample_1070","species5"
"sample_1071","species1"
"sample_1072","species2"
"sample_1073","species3"
"sample_1074","species4"
"sample_1075","species5"
"sample_1076","species1"
"sample_1077","species2"
"sample_1078","species3"
"sample_1079","species4"
"sample_1080","species5"
"sample_1081","species1"
"sample_1082","species2"
"sample_1083","species3"
"sample_1084","species4"
"sample_1085","species5"
"sample_1086","species1"
"sample_1087","species2"
"sample_1088","species3"
"sample_1089","species4"
"sample_1090","species5"
"sample_1091","species1"
"sample_1092","species2"
"sample_1093","species3"
"sample_1094","species4"
"sample_1095","species5"
"sample_1096","species1"
"sample_1097","species2"
"sample_1098","species3"
"sample_1099","species4"
"sample_1100","species5"
"sample_1101","species1"
"sample_1102","species2"
"sample_1103","species3"
"sample_1104","species4"
"sample_1105","species5"
"sample_1106","species1"
"sample_1107","species2"
"sample_1108","species3"
"sample_1109","species4"
"sample_1110","species5"
"sample_1111","species1"
"sample_1112","species2"
"sample_1113","species3"
"sample_1114","species4"
"sample_1115","species5"
"sample_1116","species1"
"sample_1117","species2"
"sample_1118","species3"
"sample_1119","species4"
"sample_1120","species5"
"sample_1121","species1"
"sample_1122","species2"
"sample_1123","species3"
"sample_1124","species4"
"sample_1125","species5"
"sample_1126","species1"
"sample_1127","species2"
"sample_1128","species3"
"sample_1129","species4"
"sample_1130","species5"
"sample_1131","species1"
"sample_1132","species2"
"sample_1133","species3"
"sample_1134","species4"
"sample_1135","species5"
"sample_1136","species1"
"sample_1137","species2"
"sample_1138","species3"
"sample_1139","species4"
"sample_1140","species5"
"sample_1141","species1"
"sample_1142","species2"
"sample_1143","species3"
"sample_1144","species4"
"sample_1145","species5"
"sample_1146","species1"
"sample_1147","species2"
"sample_1148","species3"
"sample_1149","species4"
"sample_1150","species5"
"sample_1151","species1"
"sample_1152","species2"
"sample_1153","species3"
"sample_1154","species4"
"sample_1155","species5"
"sample_1156","species1"
"sample_1157","species2"
"sample_1158","species3"
"sample_1159","species4"
"sample_1160","species5"
"sample_1161","species1"
"sample_1162","species2"
"sample_1163","species3"
"sample_1164","species4"
"sample_1165","species5"
"sample_1166","species1"
"sample_1167","species2"
"sample_1168","species3"
"sample_1169","species4"
"sample_1170","species5"
"sample_1171","species1"
"sample_1172","species2"
"sample_1173","species3"
"sample_1174","species4"
"sample_1175","species5"
"sample_1176","species1"
"sample_1177","species2"
"sample_1178","species3"
"sample_1179","species4"
"sample_1180","species5"
"sample_1181","species1"
"sample_1182","species2"
"sample_1183","species3"
"sample_1184","species4"
"sample_1185","species5"
"sample_1186","species1"
"sample_1187","species2"
"sample_1188","species3"
"sample_1189","species4"
"sample_1190","species5"
"sample_1191","species1"
"sample_1192","species2"
"sample_1193","species3"
"sample_1194","species4"
"sample_1195","species5"
"sample_1196","species1"
"sample_1197","species2"
"sample_1198","species3"
"sample_1199","species4"
"sample_1200","species5"
"sample_1201","species1"
"sample_1202","species2"
"sample_1203","species3"
"sample_1204","species4"
"sample_1205","species5"
"sample_1206","species1"
"sample_1207","species2"
"sample_1208","species3"
"sample_1209","species4"
"sample_1210","species5"
"sample_1211","species1"
"sample_1212","species2"
"sample_1213","species3"
"sample_1214","species4"
"sample_1215","species5"
"sample_1216","species1"
"sample_1217","species2"
"sample_1218","species3"
"sample_1219","species4"
"sample_1220","species5"
"sample_1221","species1"
"sample_1222","species2"
"sample_1223","species3"
"sample_1224","species4"
"sample_1225","species5"
"sample_1226","species1"
"sample_1227","species2"
"sample_1228","species3"
"sample_1229","species4"
"sample_1230","species5"
"sample_1231","species1"
"sample_1232","species2"
"sample_1233","species3"
"sample_1234","species4"
"sample_1235","species5"
"sample_1236","species1"
"sample_1237","species2"
"sample_1238","species3"
"sample_1239","species4"
"sample_1240","species5"
"sample_1241","species1"
"sample_1242","species2"
"sample_1243","species3"
"sample_1244","species4"
"sample_1245","species5"
"sample_1246","species1"
"sample_1247","species2"
"sample_1248","species3"
"sample_1249","species4"
"sample_1250","species5"
"sample_1251","species1"
"sample_1252","species2"
"sample_1253","species3"
"sample_1254","species4"
"sample_1255","species5"
"sample_1256","species1"
"sample_1257","species2"
"sample_1258","species3"
"sample_1259","species4"
"sample_1260","species5"
"sample_1261","species1"
"sample_1262","species2"
"sample_1263","species3"
"sample_1264","species4"
"sample_1265","species5"
"sample_1266","species1"
"sample_1267","species2"
"sample_1268","species3"
"sample_1269","species4"
"sample_1270","species5"
"sample_1271","species1"
"sample_1272","species2"
"sample_1273","species3"
"sample_1274","species4"
"sample_1275","species5"
"sample_1276","species1"
"sample_1277","species2"
"sample_1278","species3"
"sample_1279","species4"
"sample_1280","species5"
"sample_1281","species1"
"sample_1282","species2"
"sample_1283","species3"
"sample_1284","species4"
"sample_1285","species5"
"sample_1286","species1"
"sample_1287","species2"
"sample_1288","species3"
"sample_1289","species4"
"sample_1290","species5"
"sample_1291","species1"
"sample_1292","species2"
"sample_1293","species3"
"sample_1294","species4"
"sample_1295","species5"
"sample_1296","species1"
"sample_1297","species2"
"sample_1298","species3"
"sample_1299","species4"
"sample_1300","species5"
"sample_1301","species1"
"sample_1302","species2"
"sample_1303","species3"
"sample_1304","species4"
"sample_1305","species5"
"sample_1306","species1"
"sample_1307","species2"
"sample_1308","species3"
"sample_1309","species4"
"sample_1310","species5"
"sample_1311","species1"
"sample_1312","species2"
"sample_1313","species3"
"sample_1314","species4"
"sample_1315","species5"
"sample_1316","species1"
"sample_1317","species2"
"sample_1318","species3"
"sample_1319","species4"
"sample_1320","species5"
"sample_1321","species1"
"sample_1322","species2"
"sample_1323","species3"
"sample_1324","species4"
"sample_1325","species5"
"sample_1326","species1"
"sample_1327","species2"
"sample_1328","species3"
"sample_1329","species4"
"sample_1330","species5"
"sample_1331","species1"
"sample_1332","species2"
"sample_1333","species3"
"sample_1334","species4"
"sample_1335","species5"
"sample_1336","species1"
"sample_1337","species2"
"sample_1338","species3"
"sample_1339","species4"
"sample_1340","species5"
"sample_1341","species1"
"sample_1342","species2"
"sample_1343","species3"
"sample_1344","species4"
"sample_1345","species5"
"sample_1346","species1"
"sample_1347","species2"
"sample_1348","species3"
"sample_1349","species4"
"sample_1350","species5"
"sample_1351","species1"
"sample_1352","species2"
"sample_1353","species3"
"sample_1354","species4"
"sample_1355","species5"
"sample_1356","species1"
"sample_1357","species2"
"sample_1358","species3"
"sample_1359","species4"
"sample_1360","species5"
"sample_1361","species1"
"sample_1362","species2"
