"Id","LotFrontage","LotArea","BldgType","OverallQual","OverallCond","FullBath","HalfBath","TotRmsAbvGrd","YearBuilt","TotalBsmtSF","BedroomAbvGr","Heating","CentralAir","GrLivArea","PoolArea","YrSold","SalePrice","Age","BldgType_1Fam","BldgType_TwnhsE","Heating_GasA","Heating_GasW","CentralAir_Y"
32,82,8777,"TwnhsE",7,6,1,0,6,1966,1073,3,"GasA","Y",800,0,2006,131787.797226109,57,0,1,1,0,1
33,60,8544,"1Fam",7,5,1,0,6,2000,864,4,"GasA","Y",1829,0,2006,197063.557837859,23,1,0,1,0,1
34,60,8125,"1Fam",4,5,1,0,5,1945,816,5,"GasA","Y",1950,0,2006,148560.655154403,78,1,0,1,0,1
35,65,7050,"1Fam",5,8,2,1,4,2007,1143,3,"GasA","Y",1310,0,2006,156902.999485574,16,1,0,1,0,1
36,60,10437,"1Fam",8,5,1,0,8,1970,1734,3,"GasA","Y",1756,0,2006,257470.468824311,53,1,0,1,0,1
37,80,7658,"1Fam",5,7,2,0,7,2007,702,3,"GasA","Y",1144,0,2006,170998.439975461,16,1,0,1,0,1
38,69.3790508556864,11844,"1Fam",8,4,1,1,8,1961,649,2,"GasA","Y",1375,512,2008,161350.703801779,62,1,0,1,0,1
39,78,7472,"1Fam",8,7,1,0,5,2001,1440,4,"GasA","Y",773,0,2009,241397.31873683,22,1,0,1,0,1
40,70,8400,"1Fam",8,5,2,0,8,2000,1064,2,"GasW","Y",1148,0,2009,193090.937083005,23,1,0,0,1,1
41,52,6563,"1Fam",6,6,1,1,7,1955,1134,2,"GasA","Y",1692,0,2008,151344.298843633,68,1,0,1,0,1
42,77,9250,"1Fam",5,5,2,1,5,2005,1148,3,"GasA","N",1382,0,2010,170145.390373579,18,1,0,1,0,0
43,83,10400,"1Fam",7,5,2,0,6,1961,912,4,"GasA","Y",520,0,2006,122900.57400587,62,1,0,1,0,1
44,108,9612,"1Fam",9,5,2,1,9,2002,1436,3,"GasA","Y",1766,0,2006,271982.725979079,21,1,0,1,0,1
45,75,9098,"1Fam",5,6,2,0,7,1972,1416,2,"GasA","Y",1144,0,2009,184772.368429996,51,1,0,1,0,1
46,51,9042,"1Fam",6,5,2,0,7,1930,1056,4,"GasA","Y",1639,0,2006,155952.622190732,93,1,0,1,0,1
47,69.3790508556864,9020,"1Fam",7,6,1,0,10,1961,3200,4,"GasA","Y",2646,0,2007,274491.270045107,62,1,0,1,0,1
48,114,13006,"1Fam",5,4,1,0,7,2000,777,3,"GasA","Y",1786,0,2006,196757.473320048,23,1,0,1,0,1
49,56,11670,"1Fam",7,5,3,1,6,2007,1113,3,"GasA","Y",1369,0,2010,246883.711800792,16,1,0,1,0,1
50,79,7244,"1Fam",6,6,1,1,5,1997,1128,2,"GasA","Y",2466,0,2006,216417.765660489,26,1,0,1,0,1
51,81,9765,"TwnhsE",7,4,2,0,7,1953,672,2,"GasA","Y",1291,0,2009,143925.16437316,70,0,1,1,0,1
52,70,10570,"1Fam",5,7,1,0,6,2003,1144,3,"GasA","Y",1501,0,2006,135724.41374684,20,1,0,1,0,1
53,69.3790508556864,9100,"1Fam",6,5,2,1,5,2004,520,4,"GasA","Y",2090,0,2008,183274.895339781,19,1,0,1,0,1
54,82,10005,"1Fam",3,9,3,0,6,2003,912,3,"GasA","Y",825,0,2009,152172.268672985,20,1,0,1,0,1
55,75,1526,"1Fam",6,5,2,0,4,1965,0,4,"GasA","Y",1306,0,2008,131770.970437537,58,1,0,1,0,1
56,69.3790508556864,7930,"1Fam",5,5,2,0,5,2007,910,3,"GasA","Y",1802,0,2007,181927.468971693,16,1,0,1,0,1
57,60,9750,"1Fam",4,5,1,0,4,1925,1144,3,"GasA","Y",2775,0,2007,188578.772182837,98,1,0,1,0,1
58,75,46589,"1Fam",4,5,1,1,7,1922,729,3,"GasA","Y",1680,0,2007,173484.608526773,101,1,0,1,0,1
59,50,5000,"1Fam",5,6,1,1,6,1925,1008,3,"GasA","Y",1446,0,2009,94534.0183740855,98,1,0,1,0,1
60,62,10500,"1Fam",8,3,1,0,7,1956,783,3,"GasA","Y",1800,0,2009,180390.516436858,67,1,0,1,0,1
61,21,12099,"1Fam",7,5,2,1,6,1931,384,2,"GasA","Y",1440,0,2010,151794.044361201,92,1,0,1,0,1
62,50,12257,"1Fam",9,5,1,1,12,1971,702,3,"GasA","Y",2158,0,2006,304769.077734239,52,1,0,1,0,1
63,60,9790,"1Fam",8,5,2,1,3,1966,1092,4,"GasA","N",1121,0,2010,166637.537835641,57,1,0,1,0,0
64,51,1890,"1Fam",5,7,1,1,7,1918,1181,2,"GasA","Y",2612,0,2008,155499.911180418,105,1,0,1,0,1
65,59,12003,"1Fam",6,7,1,1,7,1930,3094,3,"GasA","Y",1077,0,2006,173697.225674799,93,1,0,1,0,1
66,21,14587,"2fmCon",9,5,1,0,7,1929,1686,3,"GasA","Y",2144,0,2008,304383.70657458,94,0,0,1,0,1
67,69.3790508556864,9020,"1Fam",5,5,2,0,6,2008,105,3,"GasA","Y",1048,0,2006,147004.05003728,15,1,0,1,0,1
68,78,14200,"TwnhsE",7,5,1,1,6,1992,849,2,"GasA","Y",1800,0,2009,229831.25359665,31,0,1,1,0,1
69,107,5119,"1Fam",7,5,2,0,6,1954,1266,2,"GasA","Y",1212,0,2009,144726.530690034,69,1,0,1,0,1
70,62,10200,"2fmCon",4,5,1,0,8,1998,811,2,"GasA","Y",2034,0,2009,148803.66835888,25,0,0,1,0,1
71,80,6762,"1Fam",7,5,1,0,8,1972,384,2,"GasA","Y",1080,0,2007,112553.146529634,51,1,0,1,0,1
72,35,10386,"1Fam",6,5,2,0,7,1936,1686,4,"GasA","Y",1949,0,2009,209973.030642667,87,1,0,1,0,1
73,70,8366,"1Fam",7,5,1,0,5,1953,1869,2,"GasA","Y",1470,0,2010,146132.86321216,70,1,0,1,0,1
74,60,10927,"1Fam",5,5,1,0,7,1974,1436,3,"GasA","Y",1928,0,2009,188922.590042034,49,1,0,1,0,1
75,69.3790508556864,15660,"1Fam",7,3,0,0,9,1972,1253,2,"GasA","Y",1252,0,2008,158614.588974758,51,1,0,1,0,1
76,50,1680,"1Fam",9,5,2,0,4,2005,1008,4,"GasA","Y",1262,0,2006,201725.799204507,18,1,0,1,0,1
77,97,8500,"1Fam",5,6,1,0,7,1957,856,2,"GasA","Y",1563,0,2010,165824.61360078,66,1,0,1,0,1
78,92,12155,"1Fam",5,8,2,1,6,1923,996,2,"GasA","Y",1652,0,2009,157165.168023045,100,1,0,1,0,1
79,88,7259,"1Fam",7,5,1,1,7,2004,1003,4,"GasA","Y",1317,0,2010,168206.833062907,19,1,0,1,0,1
80,60,11500,"TwnhsE",5,5,2,0,7,2003,728,3,"GasA","Y",1375,0,2007,167907.237255795,20,0,1,1,0,1
81,65,9100,"1Fam",6,5,1,0,7,1940,561,1,"GasA","Y",1040,0,2006,137749.089011455,83,1,0,1,0,1
82,21,4058,"1Fam",7,5,2,1,7,2000,926,3,"GasA","Y",960,0,2009,139102.297943219,23,1,0,1,0,1
83,60,18450,"1Fam",6,7,1,0,7,2005,773,3,"GasA","Y",1301,0,2010,154876.537541759,18,1,0,1,0,1
84,53,9600,"Twnhs",6,6,2,0,7,1961,1833,1,"GasA","Y",858,0,2008,168471.435339932,62,0,0,1,0,1
85,51,9180,"1Fam",6,7,2,1,7,2005,1385,3,"GasA","Y",767,0,2009,135270.799845436,18,1,0,1,0,1
86,141,17600,"TwnhsE",6,5,2,1,8,1946,689,3,"GasA","Y",3112,0,2007,200992.104189237,77,0,1,1,0,1
87,105,12456,"1Fam",6,5,2,0,6,1997,2444,3,"GasA","Y",1003,0,2006,239274.08743604,26,1,0,1,0,1
88,69.3790508556864,7200,"1Fam",7,5,2,0,10,1990,660,3,"GasA","Y",1113,0,2007,158346.494539861,33,1,0,1,0,1
89,96,12205,"1Fam",6,6,2,0,4,1925,979,3,"GasA","Y",1208,0,2010,113057.547673353,98,1,0,1,0,1
90,50,6000,"1Fam",4,6,1,1,8,2005,540,4,"GasA","Y",1632,0,2007,206199.741209332,18,1,0,1,0,1
91,100,7800,"TwnhsE",6,5,3,0,10,2004,2109,3,"GasA","Y",1920,0,2007,215904.229719463,19,0,1,1,0,1
92,78,3604,"1Fam",7,6,2,1,5,1970,1566,2,"GasA","Y",1159,0,2009,181494.774607478,53,1,0,1,0,1
93,60,7200,"1Fam",8,5,1,0,6,1963,715,4,"GasA","Y",1269,0,2008,161640.336624713,60,1,0,1,0,1
94,69.3790508556864,8536,"1Fam",6,7,2,0,10,2005,1470,2,"GasA","Y",2730,0,2008,245530.801838152,18,1,0,1,0,1
95,59,2572,"1Fam",8,5,2,0,6,2007,744,4,"GasA","Y",1560,0,2010,191493.86089511,16,1,0,1,0,1
96,91,21535,"1Fam",5,5,2,0,8,1976,483,4,"GasA","Y",1215,0,2006,136025.072628953,47,1,0,1,0,1
97,69.3790508556864,8765,"1Fam",7,5,2,0,7,1958,1517,3,"GasA","N",1473,0,2006,145337.909308162,65,1,0,1,0,0
98,75,11782,"1Fam",6,5,2,1,10,2002,1276,2,"GasA","Y",2192,0,2006,203925.720040838,21,1,0,1,0,1
99,71,2289,"1Fam",6,7,1,0,8,1976,1670,2,"GasA","Y",1577,0,2007,167707.76600324,47,1,0,1,0,1
100,69.3790508556864,15611,"TwnhsE",5,5,2,1,6,1990,1204,2,"GasA","N",1217,0,2010,179845.162085566,33,0,1,1,0,0
101,48,9450,"1Fam",5,8,1,0,9,1946,1050,2,"GasA","Y",2531,0,2008,183722.436648225,77,1,0,1,0,1
102,69.3790508556864,11426,"1Fam",6,5,2,1,7,1954,1125,4,"GasA","Y",1547,0,2007,134075.220118103,69,1,0,1,0,1
103,60,7851,"1Fam",5,5,2,0,6,2003,1561,2,"GasA","Y",1961,0,2007,210345.896798667,20,1,0,1,0,1
104,65,8000,"1Fam",5,5,1,1,8,1954,1161,3,"GasA","Y",848,0,2008,125105.133777148,69,1,0,1,0,1
105,69.3790508556864,4274,"1Fam",5,5,1,0,4,1975,1116,4,"GasA","Y",840,0,2009,126684.140803896,48,1,0,1,0,1
106,106,10628,"1Fam",5,5,1,0,6,1964,1138,2,"GasA","N",1317,0,2009,119611.290481683,59,1,0,1,0,0
107,70,9855,"TwnhsE",8,5,1,1,7,1998,1379,2,"GasA","Y",1362,0,2009,223763.990657055,25,0,1,1,0,1
108,60,7500,"1Fam",7,5,1,0,7,2007,1391,2,"GasA","N",1616,0,2007,221433.601177759,16,1,0,1,0,0
109,24,7000,"1Fam",5,8,1,0,5,2005,702,3,"GasA","Y",1445,0,2009,113623.082294788,18,1,0,1,0,1
110,69.3790508556864,8281,"2fmCon",4,8,1,1,5,1972,1100,3,"GasA","Y",1328,0,2008,132393.530586892,51,0,0,1,0,1
111,60,12800,"1Fam",4,5,2,1,5,2007,725,2,"GasA","Y",2172,0,2009,186928.638841047,16,1,0,1,0,1
112,79,9945,"1Fam",8,6,2,1,7,2005,864,4,"GasA","Y",2576,0,2009,327692.097138082,18,1,0,1,0,1
113,60,16635,"Duplex",5,5,1,0,8,1981,849,3,"GasA","Y",816,0,2009,132657.417126202,42,0,0,1,0,1
114,122,14762,"1Fam",5,7,1,1,8,1970,943,3,"GasA","Y",1477,0,2008,156761.821671772,53,1,0,1,0,1
115,141,10667,"1Fam",5,6,1,1,5,1960,953,2,"GasA","Y",1458,0,2008,168155.258676944,63,1,0,1,0,1
116,69.3790508556864,10200,"1Fam",5,7,1,1,7,1969,1214,3,"GasA","Y",1940,0,2009,165009.990066698,54,1,0,1,0,1
117,69.3790508556864,2268,"Duplex",6,5,2,1,7,1951,1350,3,"GasA","Y",1752,0,2006,127165.85567151,72,0,0,1,0,1
118,51,10355,"1Fam",10,6,2,0,6,1965,1144,2,"GasA","Y",1342,0,2010,217800.388843497,58,1,0,1,0,1
119,75,12803,"1Fam",5,5,1,0,6,1970,1709,2,"GasA","Y",981,0,2007,170604.256769047,53,1,0,1,0,1
120,80,7200,"1Fam",7,5,1,1,7,1996,723,3,"GasA","Y",1150,0,2006,184564.146405479,27,1,0,1,0,1
121,63,10400,"1Fam",7,5,2,0,6,2004,990,3,"GasA","Y",1908,0,2010,222471.679722343,19,1,0,1,0,1
122,55,25095,"1Fam",6,5,2,1,7,1959,736,3,"GasA","Y",1073,0,2006,123515.227086962,64,1,0,1,0,1
123,75,10400,"1Fam",5,5,1,0,4,2004,1028,3,"GasA","Y",894,0,2008,126458.029610397,19,1,0,1,0,1
124,82,11553,"1Fam",8,6,1,1,7,1986,983,3,"GasA","Y",1573,0,2007,193450.863648174,37,1,0,1,0,1
125,50,3072,"1Fam",8,7,2,0,6,1918,672,3,"GasA","Y",1224,0,2007,148545.73544571,105,1,0,1,0,1
126,66,10896,"1Fam",8,5,1,0,8,2005,864,3,"GasA","Y",1040,0,2008,199930.326533178,18,1,0,1,0,1
127,65,7227,"1Fam",8,6,1,1,5,1880,750,2,"GasA","Y",2704,0,2006,199662.708106232,143,1,0,1,0,1
128,70,9320,"1Fam",6,5,2,0,8,1982,1466,2,"GasA","Y",1344,0,2006,217730.082052254,41,1,0,1,0,1
129,30,8400,"TwnhsE",5,5,1,0,4,1970,1650,3,"GasA","Y",1496,0,2007,163328.91548917,53,0,1,1,0,1
130,66,6762,"Duplex",6,5,1,0,5,2004,1050,2,"GasA","Y",1960,0,2009,140837.730652478,19,0,0,1,0,1
131,79,9600,"TwnhsE",5,5,1,0,8,2007,483,3,"GasA","Y",1118,0,2009,150965.428026566,16,0,1,1,0,1
132,24,6240,"1Fam",6,6,1,0,6,1951,816,3,"GasA","Y",1520,0,2007,122378.056258404,72,1,0,1,0,1
133,69.3790508556864,14963,"TwnhsE",9,5,1,0,10,1956,2153,1,"GasA","Y",907,0,2006,343778.909135405,67,0,1,1,0,1
134,57,1300,"Duplex",5,5,1,0,5,1970,641,3,"GasA","Y",999,0,2008,110938.658620404,53,0,0,1,0,1
135,69.3790508556864,13284,"1Fam",7,5,2,0,4,1958,689,2,"GasA","Y",1120,0,2008,132649.239988348,65,1,0,1,0,1
136,56,13695,"1Fam",8,5,1,0,6,2004,721,1,"GasA","Y",1954,0,2007,261461.34498833,19,1,0,1,0,1
137,50,9084,"1Fam",4,5,1,0,7,2009,1470,3,"GasA","Y",848,0,2010,172652.002452672,14,1,0,1,0,1
138,110,10200,"1Fam",7,5,1,0,6,2004,672,2,"GasA","Y",1680,0,2006,185580.268325743,19,1,0,1,0,1
139,35,8658,"1Fam",6,6,2,0,7,1920,672,4,"GasA","Y",2020,0,2010,152986.586703222,103,1,0,1,0,1
140,108,8475,"1Fam",6,7,2,1,5,1993,1602,2,"GasA","Y",1044,0,2007,199403.419254718,30,1,0,1,0,1
141,100,9600,"1Fam",7,5,2,0,8,1963,920,4,"GasA","Y",1336,0,2008,175106.259966305,60,1,0,1,0,1
142,52,15611,"1Fam",4,7,1,1,7,2003,928,3,"GasA","Y",1680,0,2007,151894.851434154,20,1,0,1,0,1
143,61,8600,"Twnhs",8,5,1,1,9,1990,1235,3,"GasA","Y",1368,0,2009,221204.627923166,33,0,0,1,0,1
144,87,10140,"Duplex",7,9,2,1,5,1957,824,4,"GasA","Y",1661,0,2010,193718.092082481,66,0,0,1,0,1
145,95,11475,"1Fam",5,6,2,0,6,2000,672,2,"GasA","Y",2520,0,2006,201331.511978859,23,1,0,1,0,1
146,70,7861,"1Fam",5,5,2,0,4,1928,780,3,"GasA","Y",1428,0,2007,108263.187030636,95,1,0,1,0,1
147,50,10335,"1Fam",8,5,1,0,6,2004,1028,3,"GasA","Y",884,0,2007,224604.101771416,19,1,0,1,0,1
148,76,7018,"1Fam",7,5,1,0,7,1880,948,3,"GasA","Y",1978,0,2009,173130.73861241,143,1,0,1,0,1
149,69.3790508556864,6240,"1Fam",7,5,1,0,7,1939,1144,2,"GasA","Y",1108,0,2008,176723.915882849,84,1,0,1,0,1
150,84,14154,"Twnhs",7,5,2,0,10,1995,1470,0,"GasA","Y",1714,0,2006,280029.857327023,28,0,0,1,0,1
151,75,4590,"Duplex",6,5,2,0,8,2005,1060,3,"GasA","Y",1872,0,2010,150437.288707735,18,0,0,1,0,1
152,80,7931,"1Fam",4,5,1,1,8,1954,1436,4,"GasA","Y",2287,0,2008,162766.459199609,69,1,0,1,0,1
153,79,1680,"Duplex",7,5,1,1,6,2006,880,2,"GasA","Y",1414,0,2006,171163.259413956,17,0,0,1,0,1
154,60,8800,"1Fam",5,5,2,0,9,1965,1114,3,"GasA","Y",1029,0,2006,146276.993596108,58,1,0,1,0,1
155,60,8755,"1Fam",7,5,1,0,7,1980,780,3,"GasA","Y",1309,0,2007,137248.971946655,43,1,0,1,0,1
156,100,10041,"1Fam",6,5,2,0,7,1969,864,4,"GasA","Y",1040,0,2008,130520.416451338,54,1,0,1,0,1
157,72,8480,"1Fam",6,5,2,0,5,1953,1128,3,"GasA","Y",1620,0,2008,168015.162032227,70,1,0,1,0,1
158,69.3790508556864,8544,"1Fam",6,5,2,0,7,2004,1051,3,"GasA","Y",1100,0,2010,165012.873229136,19,1,0,1,0,1
159,75,11250,"1Fam",4,7,1,0,6,1956,728,3,"GasA","Y",2031,0,2008,167399.943392604,67,1,0,1,0,1
160,78,7920,"1Fam",5,7,1,1,5,1934,1017,2,"GasA","Y",1790,0,2009,181839.382357753,89,1,0,1,0,1
161,110,7800,"TwnhsE",5,5,2,0,10,1998,864,2,"GasA","Y",1470,0,2007,218866.857542418,25,0,1,1,0,1
162,69.3790508556864,10800,"1Fam",5,6,1,0,5,2004,1482,2,"GasA","Y",1756,0,2008,217399.704049457,19,1,0,1,0,1
163,69.3790508556864,13005,"1Fam",7,5,2,0,5,1977,684,4,"GasA","Y",2082,0,2010,225667.682733552,46,1,0,1,0,1
164,79,10400,"1Fam",6,6,2,0,6,1971,747,2,"GasA","Y",1301,0,2009,114592.00724536,52,1,0,1,0,1
165,69.3790508556864,5062,"1Fam",9,5,1,0,6,1969,702,3,"GasA","Y",1337,0,2009,167610.103819861,54,1,0,1,0,1
166,75,9187,"1Fam",5,5,2,0,6,1997,953,3,"GasA","Y",1456,0,2009,178609.009654892,26,1,0,1,0,1
167,80,7032,"1Fam",8,5,1,1,6,1982,1768,3,"GasA","Y",1739,0,2009,288829.737128848,41,1,0,1,0,1
168,64,16033,"1Fam",6,5,2,0,7,2004,1164,3,"GasA","Y",1577,0,2007,170675.917369993,19,1,0,1,0,1
169,80,8320,"1Fam",7,5,1,0,5,2009,0,1,"GasA","Y",1296,0,2009,210071.444852168,14,1,0,1,0,1
170,60,10380,"1Fam",6,5,2,1,6,1949,572,3,"GasW","Y",1208,0,2007,123120.880066577,74,1,0,0,1,1
171,96,7200,"1Fam",8,5,1,0,6,1959,795,3,"GasA","Y",854,0,2006,135427.465458591,64,1,0,1,0,1
172,49,7000,"1Fam",7,5,1,1,10,2007,991,3,"GasA","Y",1839,0,2009,221410.976187227,16,1,0,1,0,1
173,86,12886,"1Fam",7,5,1,0,7,2004,1040,2,"GasA","Y",2078,0,2007,259641.86777632,19,1,0,1,0,1
174,58,7590,"1Fam",5,5,1,0,5,2007,776,1,"GasA","Y",1494,0,2008,144709.588849891,16,1,0,1,0,1
175,65,7136,"TwnhsE",4,5,2,1,10,1912,980,2,"GasA","Y",943,0,2007,106645.365620045,111,0,1,1,0,1
176,100,3604,"1Fam",6,5,2,0,3,2003,1396,3,"GasA","Y",1714,0,2006,176745.542845118,20,1,0,1,0,1
177,69.3790508556864,13474,"Duplex",6,5,2,0,9,1971,1431,3,"Grav","Y",1626,0,2007,171521.096741611,52,0,0,0,0,1
178,69.3790508556864,10150,"1Fam",8,5,2,1,6,1916,1225,3,"GasA","Y",1110,0,2009,208944.283280404,107,1,0,1,0,1
179,60,16059,"Duplex",5,5,1,0,7,1900,847,3,"GasA","Y",1691,0,2010,137371.076926031,123,0,0,1,0,1
180,83,10652,"2fmCon",5,6,2,0,6,1916,1164,2,"GasA","Y",1097,0,2007,114011.750327598,107,0,0,1,0,1
181,74,5232,"1Fam",9,5,2,1,9,1940,1117,3,"GasA","Y",902,0,2009,175446.953439756,83,1,0,1,0,1
182,70,7861,"1Fam",5,5,1,0,12,2000,1800,3,"GasA","Y",3222,0,2007,240673.883862663,23,1,0,1,0,1
183,50,8100,"1Fam",6,7,1,1,10,1971,858,3,"GasA","Y",1541,0,2009,176146.202681116,52,1,0,1,0,1
184,60,7200,"Duplex",5,7,2,0,5,1977,1905,4,"GasA","Y",2291,0,2007,162992.688552851,46,0,0,1,0,1
185,44,8475,"TwnhsE",6,5,2,0,7,1920,1414,3,"GasA","Y",2013,0,2010,178112.172259578,103,0,1,1,0,1
186,72,18386,"1Fam",7,5,1,1,5,2000,1001,3,"GasA","Y",1728,0,2010,219423.896281806,23,1,0,1,0,1
187,66,13478,"1Fam",8,5,1,1,9,1892,1057,3,"GasA","Y",1721,0,2009,162695.974736824,131,1,0,1,0,1
188,52,7800,"1Fam",7,8,2,1,6,1972,728,5,"GasA","N",1392,0,2008,161688.808549782,51,1,0,1,0,0
189,68,8125,"1Fam",3,8,1,1,11,1949,832,3,"GasA","N",1054,0,2007,106765.71964206,74,1,0,1,0,0
190,41,9101,"1Fam",4,7,2,0,7,1958,1424,4,"GasA","Y",2087,0,2009,194593.881649457,65,1,0,1,0,1
191,76,14559,"1Fam",7,6,2,0,6,2003,1040,3,"GasA","Y",1392,0,2010,144486.790630106,20,1,0,1,0,1
192,62,9675,"1Fam",7,5,1,1,6,1954,1649,3,"GasA","Y",1855,0,2009,237361.299511359,69,1,0,1,0,1
193,69.3790508556864,10793,"Twnhs",6,5,2,1,6,1954,1650,4,"GasA","Y",2320,0,2006,204625.339742689,69,0,0,1,0,1
194,41,7175,"TwnhsE",7,7,1,0,4,1940,732,2,"GasA","Y",1728,0,2006,153658.424566306,83,0,1,1,0,1
195,60,4224,"1Fam",8,6,1,0,4,1984,1541,3,"GasA","Y",4316,0,2008,346189.01439822,39,1,0,1,0,1
196,69.3790508556864,6993,"TwnhsE",6,6,1,1,9,1999,780,1,"GasA","Y",1950,0,2009,179767.377239177,24,0,1,1,0,1
197,69.3790508556864,13159,"Twnhs",6,7,2,0,6,2005,1030,3,"GasA","Y",1056,0,2008,165803.328659233,18,0,0,1,0,1
198,75,11333,"1Fam",4,6,3,1,6,1957,483,3,"GasA","Y",1348,0,2007,146577.667919359,66,1,0,1,0,1
199,85,10000,"1Fam",7,5,2,0,8,1920,1084,3,"GasA","Y",1752,0,2010,189719.35652758,103,1,0,1,0,1
200,69.3790508556864,16669,"1Fam",9,7,1,0,11,1928,896,3,"GasA","Y",1301,0,2008,258801.068214847,95,1,0,1,0,1
201,86,6768,"TwnhsE",5,5,2,0,5,2002,1098,2,"GasA","Y",2020,0,2009,203775.527955522,21,0,1,1,0,1
202,80,7200,"1Fam",6,5,2,1,5,1988,1121,2,"GasA","Y",1072,0,2008,125485.938522883,35,1,0,1,0,1
203,85,13284,"1Fam",5,7,1,0,4,1971,894,3,"GasA","Y",1489,0,2006,178906.175054,52,1,0,1,0,1
204,45,7750,"1Fam",5,5,2,0,5,2005,384,2,"GasA","Y",1224,0,2009,180796.624792206,18,1,0,1,0,1
205,60,6930,"1Fam",5,4,2,0,6,2004,1266,3,"GasA","N",2229,0,2009,162911.78213497,19,1,0,1,0,0
