Id,Water_.g.,Energ_Kcal,Protein_.g.,Lipid_Tot_.g.,Ash_.g.,Carbohydrt_.g.,Fiber_TD_.g.,Sugar_Tot_.g.,Calcium_.mg.,Iron_.mg.,Magnesium_.mg.,Phosphorus_.mg.,Potassium_.mg.,Sodium_.mg.,Zinc_.mg.,Copper_.mg.,Manganese_.mg.,Selenium_.µg.,Vit_C_.mg.,Thiamin_.mg.,Riboflavin_.mg.,Niacin_.mg.,Panto_Acid_.mg.,Vit_B6_.mg.,Folate_Tot_.µg.,Folic_Acid_.µg.,Food_Folate_.µg.,Folate_DFE_.µg.,Choline_Tot_.mg.,Vit_B12_.µg.,Vit_A_IU,Vit_A_RAE,Retinol_.µg.,Alpha_Carot_.µg.,Beta_Carot_.µg.,Beta_Crypt_.µg.,Lycopene_.µg.,Lut.Zea_.µg.,Vit_E_.mg.,Vit_D_µg,Vit_D_IU,Vit_K_.µg.,FA_Sat_.g.,FA_Mono_.g.,FA_Poly_.g.,Cholestrl_.mg.
17,53.78,254,24.26,15.92,3.27,2.77,0,1.13,782,0.22,23,463,84,619,2.76,0.025,0.01,14.4,0,0.018,0.303,0.105,0.079,0.07,8.99999999999999,0,9,9,15.4,0.82,481,127,124,0,41,0,0,0,0.14,0.3,12,1.6,10.114,4.51,0.472,64
18,47.07,295,23.75,19.78,3.83,5.58,0,1.9,697,0.22,27,548,188,666,3.62,0.033,0.039,27.6,0,0.024,0.353,0.111,0.429,0.1,27,0,27,27,14.2,1.68,829,223,223,0,51,0,0,0,0.5,0.4,15,1.3,11.295,5.741,1.019,64
19,63.11,253,9.15,22.78,1.37,3.59,0,3.19,117,0.13,10,138,152,334,0.82,0.027,0.011,3,0,0.022,0.155,0.21,0.575,0.041,14,0,14,14,27.765,0.3,841,241,239,0,27,0,0,5.44999999999999,0.4,0.41,16.45,1.7,12.79,5.784,0.97,74
20,29.16,392,35.75,25.83,6.04,3.22,0,0.800000000000001,1184,0.82,44,694,92,1376,2.75,0.032,0.02,22.5,0,0.039,0.332,0.271,0.453,0.091,7,0,7,7,15.4,1.2,781,207,201,0,66,0,0,0,0.22,0.5,19,1.7,16.41,7.515,0.569,68
21,45.45,352,23.78,28.2,2,0.57,0,0.570000000000001,650,0.43,24,360,136,534,2.6,0.022,0.011,14.5,0,0.014,0.24,0.0600000000000001,0.21,0.053,18,0,18,18,15.4,1.5,1092,315,313,0,29,0,0,0,0.24,0.5,21,2.4,16.691,9.338,0.729,123
22,74.41,138,11.39,7.91,1.15,5.14,0,0.31,272,0.44,15,183,125,99,1.34,0.034,0.01,16.7,0,0.021,0.185,0.0779999999999998,0.242,0.02,13,0,13,13,16.3,0.29,384,107,105,0,20,0,0,0,0.0700000000000001,0.1,6,0.699999999999999,4.927,2.314,0.26,31
23,39.61,366,18.13,30.71,6.78,4.78,0,2.26,1045,0.63,26,641,132,1671,2.49,0.046,0.041,20.2,0,0.015,0.234,0.0760000000000001,0.403,0.054,8,0,8,8,19.2,1.5,1131,317,313,0,49,7,0,21,0.8,7.5,301,3.7,18.057,8.236,1.286,100
24,39.08,375,22.13,31.2,5.84,1.73,0.1,0.62,614,0.42,22,744,162,915,2.98,0.033,0.016,14.5,2.3,0.027,0.354,0.0779999999999998,0.485,0.071,8,0,8,8,34.7,0.7,1030,244,231,12,150,0,0,18,0.29,0.5,22,2.9,19.663,8.937,0.988,94
25,42.31,334,24.73,25.01,5.85,2.1,0,1.23,772,0.61,29,762,216,1370,3.61,0.027,0.014,15.9,0,0.014,0.276,0.0379999999999998,0.26,0.036,6,0,6,6,36.2,1.23,746,198,192,0,63,0,0,0,0.34,0.5,18,2.2,16.045,7.046,0.622,85
26,43.12,331,19.66,24.46,4.44,8.32,0,2.233,497,0.84,30,400,363,966,3.01,0.03,0.01,16.2,0,0.03,0.446,0.0739999999999998,0.977,0.141,5,0,5,5,16.955,1.28,705,200.6,197.95,0.0500000000000007,35.85,0.649999999999999,0,1.29999999999998,0.2955,0.8,32.55,2.295,15.355,7.165,0.719,64
27,44,330,16.86,25.63,4.96,8.56,0,5.59,682,0.26,27,438,255,1284,2.31,0.034,0.025,19.6,0,0.035,0.36,0.155,0.855,0.102,7,0,7,7,36.2,1.33,761,201,196,0,65,0,0,0,0.63,2.5,102,3.4,15.057,6.846,1.049,98
28,43.67,323,21.92,24.14,5.77,4.5,0,2.05,723,0.6,28,526,284,1552,3.55,0.03,0.01,16.1,0,0.014,0.4,0.104,0.5,0.035,6,0,6,6,18.73,2.3,856,237,233,0.650000000000002,44.9,0.699999999999999,0,2.40000000000001,0.3455,0.79,32.1,2.18,15.487,6.801,0.6,82
29,47.65,290,16.41,21.23,5.98,8.73,0,7.32,562,0.33,29,875,242,1625,2.59,0.033,0.02,11.3,0,0.048,0.431,0.131,0.686,0.117,7,0,7,7,36.2,0.4,653,173,168,0,55,0,0,0,0.19,0.4,16,1.8,13.327,6.219,0.624,55
30,81.24,123,3.13,10.39,0.51,4.73,0,4.13,107,0.0499999999999998,10,95,132,61,0.39,0.00900000000000001,0.005,3.2,0.9,0.03,0.194,0.109,0.539,0.05,3,0,3,2.99999999999999,18.7,0.19,354,97,95,0,22,0,0,0,0.25,0,2,1.3,7.032,3.32,0.554,35
31,74.51,191,2.96,19.1,0.61,2.82,0,3.67,91,0.0499999999999998,9,92,136,72,0.32,0.012,0.005,4.6,0.800000000000001,0.023,0.19,0.0899999999999999,0.44,0.044,2,0,2,1.99999999999999,16.8,0.14,656,181,178,0,37,0,0,0,0.12,1.1,44,1.7,10.176,4.525,0.789,59
32,57.81,340,2.84,36.08,0.53,2.74,0,2.92,66,0.1,7,58,95,27,0.24,0.011,0.00600000000000001,3,0.6,0.02,0.188,0.0640000000000001,0.495,0.035,3.99999999999999,0,4,4,16.8,0.16,1470,411,405,0,72,0,0,0,0.92,1.6,63,3.2,23.032,9.101,1.57,113
33,61.33,257,3.2,22.22,0.76,12.49,0,8,101,0.0499999999999998,11,89,147,8,0.37,0.01,0.001,1.4,0,0.037,0.065,0.0699999999999998,0.305,0.041,3,0,3,2.99999999999999,16.8,0.29,685,188,184,0,43,0,0,0,0.64,0.4,16,1.9,13.831,6.418,0.825,76
34,80.14,135,2.94,12,0.66,4.26,0,0.16,104,0.0699999999999998,10,95,129,89,0.5,0.016,0.003,2.1,0.9,0.035,0.149,0.0669999999999997,0.363,0.016,11,0,11,11,19.2,0.3,372,102,100,0,23,0,0,0,0.34,0.2,9,0.6,7.47,3.466,0.446,39
35,82.54,88,4.55,4.19,0.67,8.05,0,8.05,130,0.2,19,109,165,54,0.46,0.013,0.005,4.2,1.5,0.034,0.19,0.105,0.417,0.05,1,0,1,0.999999999999993,52.2,0.45,206,59,58,0,7,0,0,54,0.21,1.2,49,0.300000000000001,2.591,1.302,0.198,59
36,87.67,63,3.33,3.46,0.8,4.74,0,5.933,128,0.0499999999999998,13,97,139,57,0.36,0.01,0.002,2,0.9,0.03,0.123,0.0870000000000002,0.301,0.04,5,0,5,5,15.755,0.34,7,2,2,0,3.90000000000001,0,0,0,0.085,0.81,32.15,0.455000000000002,0.768,1.783,0.75,2
37,65.47,126,21.05,0,2.95,10.53,0,5.26,789,0,115,316,393,1316,4.11,0.559,0.2637,14.6,0,0.412,0.545,5.56,0.4623,0.567,8.99999999999999,0,9,9,38.4,1.85,189,56,55,0,3,0,0,0,0.27,0.1,5,0.199999999999999,4.44089209850063e-16,0,0,26
38,2.98,529,2.48,32.92,2.34,59.29,0,7.77,2,0.26,1,288,669,124,0.0699999999999998,0.018,0.011,0,0,0,0,0,0.117,0,0,0,0,0,2.3,0,0,0,0,0,0,0,0,0,1.26,0,0,1.7,19.146,9.796,0.408,0
39,65.74,194,3.61,12.72,0.8,17.13,0,17.13,90,0.04,10,86,151,66,0.27,0.012,0.005,4.8,0.699999999999999,0.027,0.117,0.0600000000000001,0.226,0.03,3.99999999999999,0,4,4,10.6,0.26,120,34,34,0,5,0,0,0,0.45,0.9,38,2.7,10.684,0.843,0.201,10
40,60.37,264,0.98,22.3,0.28,16.07,0,16.07,5,0.02,1,18,19,62,0.00999999999999979,0.024,0.045,1.5,0,0,0,0,0,0,0,0,0,0,0,0,78,4.00000000000001,0,0,47,0,0,0,0.85,0,0,5.5,18.912,1.927,0.241,0
41,50.21,318,1.25,25.31,0.18,23.05,0,23.05,6,0.12,2,8,18,25,0.0299999999999998,0.03,0.0580000000000001,2.1,0,0,0,0,0,0,0,0,0,0,0,0,143,7,0,0,86,0,0,0,0.96,0,0,6.3,21.783,1.616,0.523,0
42,88.18,61,1.75,3.41,0.5,6.16,0,5.8915,33,0.39,6,74,114,78,1.18,0.051,0.097,1.9,0,0.012,0.088,0,0,0,0,0,0,0,11.855,0,0,0,0,7.95,18.2,0,23.8,1.14999999999998,0.719,0.765,30.65,4.615,3.037,0.176,0.00800000000000001,0
43,88.13,61,3.15,3.25,0.67,4.8,0,5.05,113,0.0299999999999998,10,84,132,43,0.37,0.025,0.004,3.7,0,0.046,0.169,0.089,0.373,0.036,5,0,5,5,14.3,0.45,162,46,45,0,7,0,0,0,0.0700000000000001,1.3,51,0.300000000000001,1.865,0.812,0.195,10
44,87.69,64,3.28,3.66,0.72,4.65,0,6.4725,119,0.0499999999999998,13,93,151,49,0.38,0.01,0.004,2,1.5,0.038,0.161,0.0840000000000001,0.313,0.042,5,0,5,5,15.81,0.36,138,33,31,0,4.09999999999999,0,0,0.300000000000011,0.0475000000000001,0.815,32.4,0.23,2.278,1.057,0.136,14
45,89.21,50,3.3,1.98,0.71,4.8,0,5.06,120,0.02,11,92,140,47,0.48,0.00600000000000001,0.014,2.5,0.199999999999999,0.039,0.185,0.0920000000000001,0.356,0.038,5,0,5,5,16.4,0.53,190,55,55,0,4,0,0,0,0.03,1.2,49,0.199999999999999,1.257,0.56,0.073,8
46,88.86,51,3.48,1.92,0.77,4.97,0,6.0695,128,0.0499999999999998,14,100,162,52,0.4,0.00800000000000001,0.002,2.3,1,0.04,0.173,0.0899999999999999,0.336,0.045,5,0,5,5,16.095,0.38,204,56,55,0,4.45000000000002,0,0,0,0.0369999999999999,1,40,0.17,1.195,0.555,0.0710000000000002,8
47,87.71,56,3.95,1.98,0.87,5.49,0,5.26,143,0.0600000000000001,16,112,182,59,0.45,0.00800000000000001,0.002,2.6,1.1,0.045,0.194,0.101,0.376,0.051,6,0,6,6,15.985,0.43,5,0,44.85,0,3,0,0,0,0.0400000000000003,1,40,0.0999999999999996,1.232,0.572,0.0739999999999998,8
48,89.81,43,3.48,0.970000000000001,0.77,4.97,0,6.001,128,0.0499999999999998,14,100,162,52,0.4,0.01,0.002,2.3,1,0.04,0.173,0.0899999999999999,0.336,0.045,5,0,5,5,16.31,0.38,204,59,58,0,4,0,0,0,0.038,1,40,0.35,0.604,0.280000000000001,0.036,4
49,88.74,48,3.93,1.17,0.86,5.52,0,6.296,142,0.0600000000000001,16,111,180,58,0.45,0.01,0.002,2.5,1.2,0.045,0.192,0.1,0.373,0.05,6,0,6,6,15.985,0.43,203,61,61,0,4.45000000000002,0,0,0,0.0345,1,40,0.210000000000001,0.728,0.338,0.0430000000000001,4
50,90.13,40,3.31,0.880000000000001,0.89,4.79,0,4.79,116,0.0499999999999998,11,89,151,190,0.42,0.011,0.002,2,1,0.034,0.154,0.0579999999999998,0.275,0.034,5,0,5,5,17.7,0.22,47,14,13,0,1,0,0,0,0.05,0,1,0.0999999999999996,0.548,0.254,0.0329999999999999,4
51,88.2,61,3.1,3.46,0.78,4.46,0,4.46,101,0.0499999999999998,5,86,253,3,0.38,0.01,0.004,2,0.9,0.02,0.105,0.0430000000000001,0.304,0.034,5,0,5,5,16,0.36,105,29,28,0,7,0,0,0,0.0800000000000001,1.3,51,0.300000000000001,2.154,0.999,0.128,14
52,2.47,496,26.32,26.71,6.08,38.42,0,38.42,912,0.47,85,776,1330,371,3.34,0.08,0.04,16.3,8.6,0.283,1.205,0.646,2.271,0.302,37,0,37,37,119.3,3.25,934,258,253,0,55,0,0,0,0.58,10.5,420,2.2,16.742,7.924,0.665,97
53,3.96,358,35.1,0.720000000000001,8.03,52.19,0,52.19,1231,0.31,117,985,1705,549,4.41,0.041,0.02,27.3,5.6,0.413,1.744,0.891,3.235,0.345,50,0,50,50,167.8,3.99,2365,709,709,0,1,0,0,0,0.01,11,440,0,0.467,0.187,0.028,18
54,27.16,321,7.91,8.7,1.83,54.4,0,54.4,284,0.19,26,253,371,127,0.94,0.015,0.00600000000000001,14.8,2.6,0.09,0.416,0.21,0.75,0.051,11,0,11,11,89.1,0.44,267,74,73,0,14,0,0,0,0.16,0.2,6,0.6,5.486,2.427,0.337,34
55,74.04,134,6.81,7.56,1.55,10.04,0,10.04,261,0.19,24,203,303,106,0.77,0.016,0.00600000000000001,2.3,1.9,0.047,0.316,0.194,0.638,0.05,8,0,8,8,31.8,0.16,233,65,64,0,12,0,0,0,0.14,2,79,0.5,4.591,2.335,0.245,29
56,79.4,78,7.55,0.199999999999999,1.5,11.35,0,11.35,290,0.29,27,195,332,115,0.9,0.016,0.00600000000000001,2.5,1.2,0.045,0.309,0.174,0.738,0.055,8.99999999999999,0,9,9,25.2,0.24,394,118,118,0,0,0,0,0,0,2,79,0,0.121,0.0620000000000003,0.00599999999999978,4
57,82.17,76,2.99,1.9,0.81,12.13,0.7,9.55,109,0.24,14,102,169,66,0.39,0.075,0.0619999999999999,3.4,0,0.045,0.183,0.164,0.539,0.024,2,0,2,1.99999999999999,17.1,0.33,227,64,63,0,11,0,0,0,0.0400000000000003,1.2,49,0.199999999999999,1.177,0.455,0.089,8
58,84.91,62,3.46,1,0.78,9.86,0.1,9.94,129,0.23,13,96,172,65,0.43,0.028,0.03,1.9,0.4,0.031,0.247,0.124,0.43,0.047,3,0,3,2.99999999999999,17,0.23,174,52,51,0,2,0,0,0,0,1.1,43,0.0999999999999996,0.584,0.541,0.0950000000000002,5
59,82.45,77,3.52,2.34,0.65,10.74,1,9.66,114,0.42,23,105,197,44,0.63,0.103,0.013,2.7,0.199999999999999,0.039,0.182,0.133,0.328,0.04,5,0,5,5,15.6,0.49,176,51,51,0,4,0,0,0,0.03,1.1,45,0.199999999999999,1.431,0.677,0.0840000000000001,8
60,83.39,97,3.75,6.89,0.79,5.18,0,6.7965,169,0.12,31,117,178,52,0.22,0.046,0.018,3.085,2.3,0.052,0.135,0.0910000000000002,0.192,0.023,6,0,6,6,17.355,0.36,178,53,53,0,7.70000000000002,0,0,3.05000000000001,0.0955000000000001,0.76,30.35,0.360000000000001,4.597,1.787,0.146,19
61,80.7,108,5.98,7,0.96,5.36,0,8.2415,193,0.1,18,158,137,44,0.54,0.046,0.018,1.7,4.2,0.065,0.355,0.417,0.407,0.06,7,0,7,7,19.395,0.71,147,44,44,0,6.70000000000002,0,0,3.10000000000002,0.0830000000000002,0.7,28,0.340000000000002,4.603,1.724,0.308,27
62,72.2,119,3.05,2.7,0.9,21.15,0.3,20.85,132,0.31,16,126,224,111,0.48,0.065,0.039,1.9,0,0.047,0.222,0.124,0.363,0.025,5,0,5,5,17,0.32,67,18,18,0,4,0,0,0,0.05,1,41,0.199999999999999,1.681,0.78,0.1,11
63,93.42,24,0.76,0.0899999999999999,0.61,5.12,0,5.12,103,0.0800000000000001,10,78,143,48,0.43,0.003,0.002,1.8,0.0999999999999996,0.042,0.14,0.0790000000000002,0.381,0.042,2,0,2,1.99999999999999,16,0.18,7,2,2,0,0,0,0,0,0,0.735,29.35,0,0.0570000000000004,0.0250000000000004,0.004,1
64,3.19,353,12.93,1.07,8.35,74.46,0,74.46,796,0.88,176,932,2080,1079,1.97,0.07,0.00900000000000001,27.2,1.5,0.519,2.208,1.258,5.62,0.584,12,0,12,12,225,2.37,30,8,8,0,2,0,0,0,0.02,0,0,0.0999999999999996,0.684,0.297,0.0339999999999998,6
65,87.9,61,3.47,3.25,0.72,4.66,0,4.66,121,0.0499999999999998,12,95,155,46,0.59,0.00900000000000001,0.004,2.2,0.5,0.029,0.142,0.0750000000000002,0.389,0.032,7,0,7,7,15.2,0.37,99,27,27,0,5,0,0,0,0.0600000000000001,0.1,2,0.199999999999999,2.096,0.893,0.0920000000000001,13
66,85.23,56,5.73,0.18,1.18,7.68,0,7.68,199,0.0899999999999999,19,157,255,77,0.97,0.015,0.005,3.6,0.9,0.048,0.234,0.124,0.641,0.053,12,0,12,12,15.2,0.61,7,2,2,0,0,0,0,0,0,0,0,0.199999999999999,0.116,0.0490000000000004,0.00499999999999989,2
67,79,85,4.93,1.25,1.02,13.8,0,13.8,171,0.0699999999999998,16,135,219,66,0.83,0.013,0.004,4.9,0.800000000000001,0.042,0.201,0.107,0.552,0.045,11,0,11,11,15.2,0.53,43,12,12,0,2,0,0,0,0.02,0,1,0.0999999999999996,0.806,0.343,0.036,5
68,75.3,99,3.98,1.15,0.93,18.64,0,18.64,138,0.0600000000000001,13,109,177,53,0.67,0.079,0.0639999999999999,2.8,0.6,0.034,0.162,0.0859999999999999,0.446,0.037,8.99999999999999,0,9,9,15.2,0.43,40,11,11,0,2,0,0,0,0.02,0,1,0.0999999999999996,0.742,0.316,0.0329999999999999,5
69,76.15,143,12.56,9.51,1.06,0.719999999999999,0,0.369999999999999,56,1.75,12,198,138,142,1.29,0.072,0.028,30.7,0,0.04,0.457,0.0750000000000002,1.533,0.17,47,0,47,47,293.8,0.89,540,160,160,0,0,9,0,503,1.05,2,82,0.300000000000001,3.126,3.658,1.911,372
70,87.57,52,10.9,0.17,0.63,0.73,0,0.71,7,0.0800000000000001,11,15,163,166,0.0299999999999998,0.023,0.011,20,0,0.004,0.439,0.105,0.19,0.005,3.99999999999999,0,4,4,1.1,0.0900000000000001,0,0,0,0,0,0,0,0,0,0,0,0,4.44089209850063e-16,0,0,0
71,52.31,322,15.86,26.54,1.71,3.59,0,0.56,129,2.73,5,390,109,48,2.3,0.077,0.055,56,0,0.176,0.528,0.0239999999999996,2.99,0.35,146,0,146,146,820.2,1.95,1442,381,371,38,88,33,0,1094,2.58,5.4,218,0.699999999999999,9.551,11.738,4.204,1085
72,56.44,296,15.53,25.6,1.62,0.809999999999999,0,0.16,134,4.55,11,420,121,67,3.17,0,0.078,56.4,0,0.223,0.563,0.0310000000000001,3.437,0.412,151,0,151,151,639.3,1.9,1469,419,419,36,10,32,0,904,2.24,6,238,0.699999999999999,8.615,9.956,4.827,991
73,51.23,307,13.87,22.82,1.13,10.95,0,10.3,124,3.7,10,404,105,70,3.06,0.012,0.08,53.5,0,0.14,0.523,0.0369999999999999,3.287,0.398,174,0,174,174,669.3,1.64,1103,316,313,38,0,33,0,967,2.25,3.1,123,0.699999999999999,7.11,8.885,3.856,917
74,69.47,196,13.61,14.84,1.26,0.829999999999998,0,0.4,62,1.89,13,215,152,207,1.39,0.078,0.03,33.1,0,0.044,0.495,0.0819999999999999,1.66,0.184,51,0,51,51,317.1,0.97,787,219,216,0,35,10,0,543,1.31,2.2,88,5.6,4.323,6.182,3.251,401
75,76.13,154,10.57,11.66,1.01,0.640000000000001,0,0.31,48,1.48,11,167,117,155,1.09,0.063,0.024,25.8,0,0.034,0.386,0.0640000000000001,1.289,0.143,39,0,39,39,247.6,0.76,617,172,169,0,28,8,0,423,1.29,1.7,69,4.5,3.319,4.843,2.712,313
76,2.78,592,48.05,43.9,4.13,1.13,0,0.56,244,7.2,34,629,540,476,3.15,0.203,0.0580000000000001,164.7,0,0.183,1.977,0.34,5.55,0.499,119,0,119,119,1266.7,2.96,999,300,300,0,0,36,0,835,3.88,8.3,331,1.2,15.069,16.726,8.314,1630
77,8.54,376,82.4,0.0399999999999991,4.55,4.47,0,0,89,0.24,72,89,1116,1238,0.16,0.17,0.05,125.1,0,0.037,2.316,0.723,1.958,0.024,96,0,96,96,8.4,0.53,0,0,0,0,0,0,0,0,0,0,0,0,4.44089209850063e-16,0,0,0
78,3.08,669,33.63,59.13,3.51,0.66,0,0.23,289,9.56,26,1040,264,149,7.73,0,0.185,139.3,0,0.387,1.257,0.0830000000000002,9.063,0.742,209,0,209,209,2403.3,5.11,1590,477,477,79,0,70,0,1133,4.81,10.4,417,1.5,20.334,23.377,10.32,2307
79,70.83,185,12.81,13.77,1.14,1.45,0,0.93,64,3.85,17,220,222,146,1.41,0.062,0.038,36.4,0,0.156,0.404,0.2,1.862,0.25,80,0,80,80,263.4,5.4,674,194,192,0,14,12,0,459,1.34,1.7,69,0.4,3.681,6.525,1.223,884
80,70.43,185,13.87,13.27,1.08,1.35,0,0.94,60,3.64,16,208,210,138,1.33,0.062,0.038,36.9,0,0.147,0.382,0.189,1.759,0.236,76,0,76,76,263.4,5.1,650,187,185,0,13,12,0,442,1.29,1.7,66,0.4,3.595,5.747,1.672,852
81,74.35,158,13.05,11.09,1.1,0.41,0,0.4,64,3.65,13,226,132,141,1.47,0.062,0.038,32,0,0.13,0.79,0.15,1.761,0.15,66,0,66,66,263.4,1.58,543,156,155,0,11,10,0,369,1.08,1.4,55,0.300000000000001,3.557,4.324,1.324,844
82,72.5,171,13.68,11.88,0.79,1.15,0,0.960499999999999,99,4.1,13,170,142,151,1.58,0.062,0.038,34.3,0,0.11,0.47,0.0239999999999996,1.889,0.131,71,0,71,71,325.065,1.69,554,166,166,7.5,14.9,11.65,0,428,1.4615,2.53,101.45,1.42,3.632,4.571,1.658,933
83,90.84,34,3.37,0.0800000000000001,0.75,4.96,0,5.09,122,0.0299999999999998,11,101,156,42,0.42,0.013,0.003,3.1,0,0.045,0.182,0.0939999999999999,0.357,0.037,5,0,5,5,15.6,0.5,15,2,1,0,7,0,0,0,0.01,0,0,0,0.0509999999999997,0.0209999999999999,0.00300000000000011,2
84,29.01,452,30.52,35.59,3.72,2.17,0,2.17,895,1.88,54,729,48,423,1.59,0.627,0.252,5.5,0,0.14,1.19,2.4,0.41,0.08,3.99999999999999,0,4,4,15.4,0.12,1745,486,478,0,91,0,0,0,0.31,0.7,26,3,24.609,8.117,0.845,105
