"Id","sulphates","total.sulfur.dioxide","free.sulfur.dioxide","density","citric.acid","fixed.acidity","volatile.acidity","chlorides","alcohol","residual.sugar","pH"
715,0.41,163,40,0.995,0.24,7.2,0.43,0.058,9.9,6.7,3.2
716,0.55,207,11,0.993,0.51,8.3,0.41,0.046,11.4,2,3.02
717,0.59,313,131,0.9946,0.31,7.5,0.27,0.057,10.5,5.8,3.18
718,0.39,135,37,0.9927,0.34,6.8,0.24,0.032,10.6,4.6,3.2
719,0.55,153,27,0.9964,0.43,7.4,0.2,0.045,9,7.8,3.19
720,0.54,129,17,0.9948,0.36,8,0.24,0.047,10,1.5,3.2
721,0.47,140,30,0.9962,0.42,6.4,0.26,0.044,9.1,9.7,3.18
722,0.76,144,46,0.9931,0.47,5.4,0.31,0.053,10,3,3.29
723,0.4,131,33,0.9942,0.33,7.1,0.145,0.05,9.6,4.6,3.28
724,0.47,137,56,0.997,0.45,7.6,0.17,0.054,10,11.2,3.15
725,0.74,146,47,0.9914,0.36,6.3,0.12,0.044,11.4,2.1,3.27
726,0.51,128,27,0.9924,0.3,5.5,0.335,0.071,9.6,2.5,3.14
727,0.38,191,48,0.9978,0.37,7.3,0.22,0.063,9,14.3,2.89
728,0.38,191,48,0.9978,0.37,7.3,0.22,0.063,9,14.3,2.89
729,0.78,169,24,0.9927,0.33,6.1,0.36,0.05,9.5,1.1,3.15
730,0.43,84,24,0.9941,0.14,7.1,0.365,0.055,8.9,1.2,3.15
731,0.62,143,40,0.9923,0.27,6,0.18,0.089,10.8,1.5,3.49
732,0.45,148,39,0.9927,0.21,6.9,0.33,0.053,9.4,1,3.12
733,0.38,89,18,0.9893,0.22,5.1,0.33,0.027,12.5,1.6,3.51
734,0.38,89,18,0.9893,0.22,5.1,0.33,0.027,12.5,1.6,3.51
735,0.46,98,21,0.9924,0.44,7.3,0.2,0.045,10,1.4,3.15
736,0.46,98,21,0.9924,0.44,7.3,0.2,0.045,10,1.4,3.15
737,0.52,179,48,0.9975,0.26,7.2,0.28,0.046,9,12.5,3.1
738,0.51,149,30,0.9936,0.27,7.2,0.27,0.048,9.2,2.4,3.1
739,0.46,140,29,0.995,0.32,6.7,0.21,0.047,9.7,5.4,3.39
740,0.46,66,13,0.9916,0.32,6.5,0.36,0.031,10.6,1.1,3.1
741,0.44,163,62,0.9976,0.51,6.8,0.37,0.044,8.8,11.8,3.19
742,0.5,107,35,0.9917,0.4,6.3,0.2,0.037,11.4,1.5,3.46
743,0.44,163,62,0.9976,0.51,6.8,0.37,0.044,8.8,11.8,3.19
744,0.52,108,22,0.9934,0.07,6.1,0.35,0.069,9.2,1.4,3.23
745,0.56,252,55,1,0.31,7.1,0.27,0.046,8.7,18.2,3.07
746,0.66,170,33,0.9918,0.31,6.8,0.22,0.035,12.6,6.3,3.24
747,0.51,125,13,0.9932,0.24,6.9,0.49,0.049,9.4,1.2,3.17
748,0.53,116,26,0.992,0.39,6.3,0.14,0.044,10.3,1.2,3.26
749,0.79,140,38,0.998,0.36,7.3,0.28,0.04,9.6,12.7,3.3
750,0.47,155,42,0.9999,0.39,7.2,0.25,0.038,9,18.95,2.97
751,0.33,99,27,0.9927,0.27,7.4,0.21,0.041,9.8,1.2,3.19
752,0.56,137,33,0.9929,0.28,7.4,0.31,0.05,10.5,1.6,3.31
753,0.37,136,41,0.9898,0.31,7,0.22,0.03,12.7,2.7,3.16
754,0.54,222,37,0.9954,0.28,7,0.21,0.045,10.4,8.7,3.25
755,0.54,222,37,0.9954,0.28,7,0.21,0.045,10.4,8.7,3.25
756,0.45,194,48,0.9974,0.5,6.8,0.29,0.053,9.4,13.3,3.09
757,0.38,84,19,0.9927,0.1,6.4,0.34,0.048,9.8,1.1,3.21
758,0.61,214,73.5,0.9934,0.34,7.4,0.155,0.045,9.9,2.3,3.18
759,0.57,151,16,0.9938,0.09,7.2,0.55,0.108,9.2,1.5,3.07
760,0.61,214,73.5,0.9934,0.34,7.4,0.155,0.045,9.9,2.3,3.18
761,0.59,102,24,0.9913,0.37,6.7,0.22,0.028,11.6,1.6,3.29
762,0.51,160,27,0.9931,0.14,5.9,0.46,0.042,10.6,2.7,3.46
763,0.45,171,40,0.9982,0.29,7,0.25,0.047,9.3,15.2,3.22
764,0.38,162,50,0.9973,0.19,5.9,0.25,0.047,9.5,12.4,3.35
765,0.5,178,66,0.9976,0.62,7.2,0.39,0.047,8.7,11,3.16
766,0.73,158,21,0.9983,0.7,8.6,0.37,0.039,9.3,12.15,3
767,0.48,132,34,0.9944,0.31,7,0.17,0.034,9.6,4.8,3.36
768,0.36,102,30,0.9938,0.22,5.5,0.16,0.03,9.4,4.5,3.24
769,0.39,105,42,0.9893,0.36,7.4,0.28,0.028,12.4,1.1,2.99
770,0.55,115,29,0.9927,0.28,7,0.22,0.037,10.5,1.5,3.11
771,0.56,164,67,0.9928,0.33,6.3,0.22,0.041,10.4,1.7,3.32
772,0.6,172,31,0.9964,0.34,6.7,0.47,0.043,9.2,8.9,3.22
773,0.42,137,41,0.9972,0.24,5.8,0.25,0.044,9.5,13.3,3.34
774,0.58,200,79,0.9954,0.3,6.2,0.37,0.346,9.6,6.6,3.29
775,0.51,117,43,0.9928,0.37,6,0.16,0.025,9.7,1.5,3.46
776,0.68,180,53,0.9936,0.29,7.4,0.29,0.045,10.5,1.6,3.34
777,0.4,65,12,0.9898,0.39,7.1,0.23,0.032,12.7,1.6,3.25
778,0.49,189,70,0.9976,0.62,7.2,0.4,0.041,8.6,10.8,3.08
779,0.66,174,13,0.992,0.34,5.7,0.335,0.04,10,1,3.27
780,0.62,210,8,0.9937,0.3,6.4,0.3,0.038,9.9,2.25,3.2
781,0.62,210,8,0.9937,0.29,6.5,0.3,0.037,9.9,2.25,3.19
782,0.53,140,46,0.998,0.31,7.8,0.18,0.053,8.9,12.2,3.06
783,0.52,135,7,0.9944,0.26,7.3,0.51,0.09,8.8,3.3,3.01
784,0.42,138,62,0.9921,0.12,6.7,0.27,0.041,10,1.3,3.21
785,0.41,167,8,0.9908,0.35,7.8,0.34,0.042,12.1,1.8,3.11
786,0.33,55,27,0.9915,0.33,7.4,0.36,0.025,11.2,1.4,3.21
787,0.39,115,34,0.9952,0.32,7.8,0.28,0.036,10.3,9,3.17
788,0.47,167,28,0.9926,0.26,6.1,0.31,0.051,10.4,2.2,3.37
789,0.6,154,49,0.992,0.42,7.4,0.15,0.045,10.4,1.7,3
790,0.64,78,20,0.9918,0.28,5.9,0.13,0.05,10.8,1.9,3.43
791,0.4,41,7,0.9942,0.34,7.2,0.34,0.048,11.7,12.6,3.19
792,0.38,96,22,0.9898,0.32,5.8,0.36,0.033,11.2,1.7,3.03
793,0.45,140,24,0.9934,0.39,5.9,0.32,0.114,9.2,3.3,3.09
794,0.45,112,19,0.9922,0.47,5.6,0.19,0.03,11.2,4.5,3.56
795,0.51,171,54,0.9987,0.51,7.9,0.345,0.047,9.1,15.3,3.09
796,0.48,178,53,0.9976,0.36,7.4,0.25,0.067,9,13.2,3.01
797,0.54,61,22,0.992,0.3,6.1,0.24,0.045,10.4,1.5,3.31
798,0.62,148,29,0.9952,0.41,6.7,0.24,0.036,9.9,8.7,3.22
799,0.51,162,49,0.9983,0.17,6.8,0.28,0.047,9,13.9,3.21
800,0.58,149,41,0.9933,0.22,6.4,0.16,0.04,10,1.4,3.49
801,0.42,192,76,0.9976,0.65,7.2,0.46,0.05,8.7,10.4,3.16
802,0.38,118,32,0.9901,0.34,7.8,0.28,0.028,12.1,1.6,3
803,0.52,168,40,0.9976,0.51,7,0.3,0.05,9.6,13.6,3.07
804,0.65,160,22,0.9982,0.71,8.4,0.35,0.046,9.4,12.2,2.98
805,0.39,165,53,0.9969,0.24,5.9,0.21,0.044,9.5,12.1,3.25
806,0.63,184,39,0.9969,0.27,7.7,0.34,0.063,9.2,8.8,3.09
807,0.47,99,28,0.9967,0.38,7.8,0.22,0.059,10,10.3,3.12
808,0.61,153,59,0.9928,0.5,6,0.26,0.048,9.8,2.2,3.08
809,0.69,179,44,0.9948,0.27,6.5,0.28,0.04,9.4,5.2,3.19
810,0.46,194,77,0.9976,0.66,7.4,0.41,0.051,8.7,10.8,3.05
811,0.41,107,26,0.9912,0.29,6.5,0.28,0.038,11.6,2.7,3.32
812,0.56,181,44,0.9987,0.54,6.7,0.34,0.047,8.8,16.3,3.04
813,0.39,151,49,0.99,0.34,7.2,0.2,0.032,12.7,2.7,3.16
814,0.41,107,26,0.9912,0.29,6.5,0.28,0.038,11.6,2.7,3.32
815,0.38,134,42,0.9912,0.26,6,0.38,0.034,12.3,6,3.38
816,0.39,111,25,0.994,0.22,5.7,0.18,0.042,9.4,4.2,3.35
817,0.35,168,44,0.9947,0.22,7.3,0.3,0.056,10.1,6.4,3.13
818,0.36,81,26,0.9954,0.22,7.4,0.24,0.042,9.7,10.7,2.86
819,0.51,134,32,0.993,0.3,6.6,0.25,0.046,10.1,1.6,3.42
820,0.36,81,26,0.9954,0.22,7.4,0.24,0.042,9.7,10.7,2.86
821,0.5,136,37,0.992,0.25,6.1,0.32,0.034,10.8,1.7,3.47
822,0.44,148,6,0.9983,0.5,7.1,0.31,0.059,9.1,14.5,2.94
823,0.52,152,28,0.9968,0.33,6.9,0.41,0.043,9.4,10.1,3.2
824,0.28,131,10,0.9905,0.07,6.4,0.45,0.03,10.8,1.1,2.97
825,0.38,106,31,0.9914,0.4,7.2,0.24,0.045,10.8,1.4,2.88
826,0.38,158,38,0.9965,0.29,7.3,0.25,0.049,9.6,7.5,3.43
827,0.38,158,38,0.9965,0.29,7.3,0.25,0.049,9.6,7.5,3.43
828,0.48,161,48,0.9993,0.25,6.1,0.28,0.044,9.5,17.75,3.34
829,0.69,94,12,0.9965,0.35,7.4,0.37,0.061,10.7,5.7,3.48
830,0.39,95,9,0.992,0.4,7.4,0.24,0.032,11.1,4.3,3.09
831,0.36,133,38,0.9978,0.68,7.5,0.21,0.045,8.7,10.9,3
832,0.5,190,52,0.9928,0.27,7.7,0.24,0.051,10.8,1.8,3.23
833,0.6,141,22,0.9937,0.12,5.3,0.32,0.043,10.4,6.6,3.36
834,0.51,64,3,0.9913,0.34,7.2,0.24,0.045,11.4,1.1,3.23
835,0.46,130,49,0.9952,0.29,6.2,0.24,0.039,11,13.3,3.33
836,0.62,228,31,0.9957,0.24,7,0.32,0.048,9.4,6.2,3.23
837,0.6,99,23,0.9916,0.33,5.8,0.31,0.036,10.5,1.2,3.18
838,0.42,144,35,0.9999,0.42,7,0.23,0.05,8.8,18.05,3.22
839,0.46,133,39,0.9931,0.28,6.2,0.17,0.037,10.8,4.7,3.41
840,0.71,198,48,0.9937,0.14,5.6,0.35,0.046,10.3,5,3.3
841,0.5,127,33,0.991,0.29,5.6,0.235,0.047,11,1.2,3.34
842,0.43,189,34,0.9979,0.25,6.1,0.28,0.054,9,12.9,3.25
843,0.5,179,68,0.9971,0.33,6.3,0.21,0.046,10.4,13.9,3.36
844,0.57,151,7,0.993,0.72,6.5,0.33,0.061,9.5,1.1,3.09
845,0.53,189,35,0.9986,0.34,7.1,0.26,0.067,9.1,14.4,3.07
846,0.4,95,27,0.9932,0.35,9,0.27,0.028,11.3,4.9,3.04
847,0.44,136,14,0.9936,0.21,7.3,0.34,0.05,10.2,3.2,3.25
848,0.47,234.5,122.5,0.9922,0.16,6.8,0.29,0.038,10,1.4,3.15
849,0.47,188,23,0.9972,0.1,7,0.57,0.094,9.2,8.3,3.4
850,0.38,86,12,0.9934,0.26,7.1,0.28,0.049,9.4,1.9,3.15
851,0.52,182,49,0.9958,0.38,7.1,0.17,0.052,9.6,7.4,3.35
852,0.5,150,46,0.995,0.34,7.1,0.32,0.039,12.5,14.5,3.38
853,0.4,201,44,0.9955,0.25,6.1,0.28,0.056,9.1,6.9,3.19
854,0.42,94,23,0.991,0.38,5.8,0.32,0.033,11.8,4.75,3.42
855,0.42,94,23,0.991,0.38,5.8,0.32,0.033,11.8,4.75,3.42
856,0.42,94,23,0.991,0.38,5.7,0.32,0.033,11.8,4.75,3.42
857,0.39,159,64,0.992,0.14,6.7,0.28,0.043,10,1.4,3.17
858,0.47,171,12,0.9931,0.69,6.8,0.34,0.058,9.7,1.3,3.06
859,0.44,165,30,0.997,0.25,5.9,0.25,0.052,9.5,11.3,3.24
860,0.48,174,61,0.9948,0.32,6.4,0.27,0.24,9.4,4.5,3.12
861,0.42,183,50,0.9923,0.31,8.1,0.46,0.052,11.2,1.7,3.03
862,0.46,201,54,0.9976,0.26,6.2,0.36,0.051,9,13.2,3.25
863,0.53,114,21,0.9938,0.35,6.8,0.22,0.043,10.7,5.5,3.3
864,0.67,193,22,0.9984,0.3,6.8,0.67,0.29,9,13,3.08
865,0.6,136,25,0.9935,0.34,6.9,0.2,0.043,10.1,1.9,3.31
866,0.62,191,36,0.9942,0.16,6,0.36,0.036,9.8,6.3,3.17
867,0.66,225,51,0.9997,0.58,7.6,0.29,0.041,9.5,17.5,3.16
868,0.6,204,62,0.9982,0.51,7.5,0.31,0.039,9.5,14.8,3.06
869,0.78,135,19,0.9894,0.22,5.9,0.34,0.03,13.9,2.4,3.41
870,0.45,84,20,0.9927,0.18,6.6,0.38,0.042,10.1,1.2,3.22
871,0.42,110,30,0.9917,0.28,6.4,0.33,0.038,10.5,1.1,3.12
872,0.62,166,57,0.9943,0.45,7.2,0.18,0.046,11.2,4.4,3.13
873,0.45,172,51,0.998,0.24,6.1,0.25,0.046,9.5,12.1,3.35
874,0.61,221,22,0.9969,0.31,7.7,0.42,0.048,9.2,9.2,3.06
875,0.5,157,34,1.0002,0.41,7,0.27,0.042,9.1,18.75,2.96
876,0.5,127,35,0.9937,0.5,7.4,0.29,0.042,10.2,1.8,3.45
877,0.44,89,29,0.99035,0.31,6.6,0.33,0.02,12.4,1.3,3.26
878,0.59,101,19,0.9954,0.34,7,0.21,0.057,9.4,8,2.99
879,0.47,157,42,0.99455,0.31,6.4,0.16,0.043,10.5,5.3,3.35
880,0.62,188,12,0.9924,0.27,6,0.33,0.185,9.4,0.8,3.12
881,0.56,139,25,0.99695,0.33,6.5,0.23,0.042,10.4,13.8,3.35
882,0.33,49,14,0.9934,0.45,8.8,0.28,0.022,11.1,6,3.01
883,0.49,129,15,0.9948,0.3,6.4,0.25,0.038,9.6,5.5,3.14
884,0.5,183,40,0.998,0.3,6.6,0.25,0.052,9.1,14.4,3.02
885,0.55,57,21,0.99115,0.3,5.8,0.2,0.031,11,1.5,3.44
886,0.32,175,51,0.9928,0.42,7.3,0.3,0.025,11.4,7.35,3.04
887,0.5,138,14,0.9932,0.47,5.9,0.35,0.11,9.1,2.2,3.09
888,0.43,175,45,0.99755,0.28,5.8,0.25,0.056,9.5,11.1,3.42
889,0.97,134,54,0.9932,0.4,7.1,0.13,0.047,9.8,1.2,3.3
890,0.54,176,44,0.9958,0.38,6.9,0.18,0.049,9.8,8.1,3.3
891,0.56,247,55,1.00055,0.49,6.8,0.24,0.057,8.7,19.3,3
892,0.69,168,36,0.99505,0.28,6.3,0.3,0.042,9.5,5,3.22
893,0.44,238,81,0.9988,0.63,6.7,0.5,0.078,9.2,13.4,3.08
894,0.6,46,7,0.99175,0.36,6.8,0.2,0.028,10.9,1.6,3.21
895,0.4,113,41,0.9962,0.34,6.7,0.11,0.043,9.3,8.8,3.42
896,0.46,120,29,0.9942,0.31,6.8,0.12,0.045,9.8,5.2,3.41
897,0.45,172,49,0.99985,0.3,6.1,0.27,0.039,9.4,16.7,3.4
898,0.58,104,29,0.9918,0.48,6.4,0.225,0.115,12.1,2.2,3.24
899,0.56,98,18,0.99215,0.45,8.3,0.14,0.039,11,1.5,3.02
900,0.82,178,59,0.9992,0.37,6.9,0.22,0.053,9.5,15,3.37
901,0.75,145,43,1.0006,0.44,8.1,0.17,0.053,8.8,14.1,3.28
902,0.82,178,59,0.9992,0.37,6.9,0.22,0.053,9.5,15,3.37
903,0.53,197,47,0.99865,0.19,7.2,0.23,0.052,9,13.7,3.12
904,0.3,119,31,0.99815,0.27,7.6,0.3,0.039,9.3,10.6,3.27
905,0.29,117,31,0.99815,0.28,7.7,0.34,0.04,9.2,11,3.27
906,0.69,92,28,0.99225,0.3,5.9,0.24,0.033,10.9,2,3.39
907,0.56,144,34,0.99445,0.08,6.4,0.46,0.046,10,4.9,3.1
908,0.69,92,28,0.99225,0.3,5.9,0.24,0.033,10.9,2,3.39
909,0.52,173,38,0.99335,0.27,7.4,0.32,0.049,9.3,1.4,3.03
910,0.43,157,37,0.99625,0.26,7.2,0.31,0.05,9,7.3,3.09
911,0.4,113,30,0.99445,0.24,5.4,0.18,0.041,9.4,4.8,3.42
912,0.44,165,46,0.99795,0.31,6.6,0.21,0.039,9.8,11.4,3.41
913,0.5,160,9,0.99405,0.28,6.4,0.35,0.055,9.1,1.1,3.42
914,0.46,166,44,1,0.32,6.5,0.26,0.045,9.5,16.5,3.38
915,0.59,229,44,0.99785,0.24,7.9,0.35,0.072,10.5,15.6,3.03
916,0.51,133,27,0.99675,0.22,6.6,0.56,0.034,9.1,8.9,3.2
917,0.61,85,24,0.98965,0.29,6.6,0.36,0.021,12.4,1.6,3.41
918,0.43,104,34,0.99445,0.21,6.8,0.18,0.053,9.4,5.4,3.3
919,0.52,77,7,0.9939,0.42,8.4,0.18,0.036,11.7,5.1,3.16
920,0.56,167,36,0.9958,0.37,7,0.21,0.042,9.8,7.2,3.26
921,0.59,155,24,0.9956,0.38,6.8,0.25,0.046,10.2,8.1,3.33
922,0.48,139,27,0.99055,0.36,7.4,0.24,0.031,12.5,2,3.28
923,0.44,90,20,0.9959,0.36,7.1,0.16,0.044,10.9,10.7,3.16
924,0.69,110,34,0.9963,0.31,7.3,0.205,0.06,10.5,1.7,3.72
925,0.69,110,34,0.9963,0.31,7.3,0.205,0.06,10.5,1.7,3.72
926,0.45,108,34,0.99155,0.34,7.5,0.42,0.04,12.8,4.3,3.14
927,0.4,177,30,0.99085,0.36,7.3,0.25,0.034,11.9,2.1,3.25
