"sulphates","total.sulfur.dioxide","free.sulfur.dioxide","density","citric.acid","fixed.acidity","volatile.acidity","chlorides","alcohol","residual.sugar","pH","quality"
0.35,138,53,0.99084,0.31,6.4,0.14,0.034,11.5,1.2,3.38,7
0.78,156,48,0.99947,0.39,7.1,0.18,0.051,9.1,14.5,3.35,5
0.38,117,8,0.9935,0.39,7.7,0.28,0.036,12,8.9,3.06,7
0.47,128,23,0.9917,0.34,6.9,0.31,0.032,11.7,1.6,3.37,6
0.4,161,32,0.9981,0.34,8.5,0.28,0.041,9.9,13.8,3.13,6
0.53,113,24,0.9982,0.24,6.5,0.41,0.048,9.8,14,3.44,6
0.45,186,61,0.99884,0.2,6.8,0.44,0.065,8.6,16,3.13,5
0.38,80,12,0.9923,0.26,5.6,0.26,0.031,10.8,5.7,3.25,5
0.48,212,63,0.99526,0.34,6.6,0.32,0.044,9.7,7.7,3.22,6
0.41,155,45,0.99807,0.27,7.3,0.19,0.057,8.8,13.9,2.94,8
0.72,147,42,0.9982,0.37,7.4,0.26,0.047,10,9.4,3.46,5
0.44,174,32,0.99922,0.24,6.1,0.28,0.074,9.3,19.95,3.19,6
0.41,166,41,0.995,0.24,7.3,0.4,0.058,9.9,6.7,3.2,6
0.62,77,20,0.99001,0.23,5.2,0.25,0.047,11.4,1.4,3.32,5
0.43,106,43,0.99112,0.29,6.6,0.21,0.029,11.5,5.35,2.93,7
0.4,103,27,0.9916,0.74,7.6,0.14,0.04,10.8,1.6,3.07,7
0.33,143,45,0.9932,0.3,7.1,0.21,0.037,9.9,1.4,3.13,6
0.53,142,20,0.9974,0.39,8.5,0.24,0.044,10,10.4,3.2,6
0.54,98,24,0.99194,0.29,7.5,0.23,0.031,10.9,2.6,3,6
0.41,173,56,0.9984,0.29,6.8,0.23,0.073,8.7,15.4,3.06,6
0.52,158,37,0.9932,0.39,5.8,0.24,0.054,9.3,1.5,3.21,6
0.51,150,29,0.9968,0.34,6.7,0.41,0.049,9.1,9.2,3.22,5
0.56,179,44,0.9979,0.31,6.7,0.27,0.036,9.6,15.7,3.26,5
0.45,177,52,0.9962,0.31,7.4,0.26,0.047,8.9,7.6,3.13,6
0.47,90,34,0.99047,0.3,7,0.16,0.043,11.2,2.6,2.88,6
0.55,146,42,0.9934,0.22,5.1,0.165,0.047,9.9,5.7,3.18,6
0.38,118,32,0.9901,0.34,7.8,0.28,0.028,12.1,1.6,3,7
0.56,161,67,0.99146,0.35,7,0.36,0.048,11.1,2.5,3.05,6
0.67,116,48,0.99218,0.32,7.2,0.14,0.022,10,1.1,3.04,6
0.47,173,49,0.99601,0.46,6.8,0.26,0.037,9.3,8.3,3.17,5
0.95,117,40,0.9934,0.36,6.9,0.18,0.036,9.5,1.3,3.27,7
0.63,226,64,0.997,0.56,6.8,0.26,0.043,9.3,11.9,3.02,5
0.54,114,40,0.992,0.37,7.9,0.41,0.03,12.4,4.5,3.17,7
0.84,76,12,0.9966,0.4,8.2,0.23,0.049,9.7,7.5,3.06,6
0.45,161,53,0.99207,0.28,6.6,0.18,0.041,10.2,1.7,3.13,6
0.5,249,83,0.9971,0.35,6.1,0.43,0.059,8.5,9.1,3.37,5
0.42,111,14,0.9958,0.32,9.4,0.3,0.029,10.6,10.7,2.85,5
0.68,168,54,0.9978,0.74,6.4,0.18,0.046,10.1,11.9,3.58,5
0.55,117,32,0.99355,0.28,7,0.22,0.039,11.5,10.6,3.05,7
0.63,118,49,0.99546,0.35,6.9,0.19,0.038,10.7,13.5,3,6
0.38,116,46,0.99602,0.27,6.2,0.15,0.035,9.1,11,3.12,6
0.38,99,24,0.99528,0.23,6.3,0.29,0.037,10.6,14.2,3.08,6
0.57,100,17,0.9957,0.4,8.7,0.45,0.067,10.1,1.5,3.27,6
0.65,126,54,0.9898,0.28,6,0.25,0.026,12.9,2.2,3.43,8
0.44,76,17,0.99104,0.3,6.7,0.2,0.025,11,1.4,3.11,6
0.5,146,36,0.9948,0.05,5.9,0.5,0.054,9.2,2.6,3.43,6
0.47,126,22,0.99888,0.39,6.5,0.24,0.052,9.2,17.3,3.11,6
0.59,149,46,0.99772,0.27,7.2,0.19,0.061,9.3,11.2,2.99,6
0.57,172,32,0.9958,0.24,6.3,0.28,0.031,9.7,8.45,3.39,7
0.38,143,35,0.9959,0.32,6.8,0.31,0.052,9,7.6,3.14,5
0.44,96,35,0.99129,0.27,6.7,0.46,0.039,12.4,5.2,3.16,7
0.42,181,33,0.9955,0.26,7.8,0.39,0.059,10.9,9.9,3.04,6
0.53,107,39,0.98894,0.3,6.5,0.37,0.033,13.5,2.2,3.22,7
0.49,177,72,0.9972,0.36,7,0.23,0.051,9.8,13,3.16,5
0.5,168,50,0.9957,0.49,6.9,0.22,0.063,10.3,7,3.54,6
0.5,142,45,0.98984,0.31,5.9,0.21,0.033,12.7,1.8,3.35,6
0.7,129,24,0.99305,0.34,7.6,0.23,0.043,10.4,1.6,3.12,5
0.52,206,49,0.9956,0.51,6.2,0.28,0.056,9.4,7.9,3.18,5
0.54,176,44,0.9958,0.38,6.9,0.18,0.049,9.8,8.1,3.3,6
0.41,184,39,0.9928,0.21,6.6,0.36,0.049,9.9,1.5,3.18,6
0.38,150,45,0.99727,0.26,6.8,0.3,0.037,12.3,20.3,3.04,6
0.58,136,25,0.995,0.33,7,0.23,0.04,9.5,5.8,3.19,6
0.62,185,48,0.99472,0.62,7.3,0.36,0.033,10.6,7.1,3.14,6
0.48,145,53,0.9972,0.32,8.2,0.21,0.053,10.2,10.65,3.17,6
0.5,227,74,0.99582,0.4,6.5,0.27,0.039,9.4,10,3.18,5
0.33,99,27,0.9927,0.27,7.4,0.21,0.041,9.8,1.2,3.19,6
0.38,90,12,0.9944,0.36,8.2,0.22,0.034,10.5,6.8,3.01,8
0.7,176,58,0.99454,0.54,6.2,0.25,0.046,10.4,7,3.19,5
0.45,221,60,0.9952,0.43,6.4,0.28,0.045,9.4,7.1,3.09,6
0.62,174,36,0.9963,0.34,6.9,0.31,0.059,11.1,7.4,3.46,7
0.31,98,28,0.99234,0.26,6.4,0.38,0.043,11.4,8.2,2.99,6
0.49,213,41,0.9927,0.3,7,0.24,0.04,11.8,4.2,3.28,6
0.57,92,32,0.99036,0.29,6.1,0.17,0.041,11.2,1.1,3.26,6
0.42,144,35,0.9999,0.42,7,0.23,0.05,8.8,18.05,3.22,5
0.78,156,48,0.99947,0.39,7.1,0.18,0.051,9.1,14.5,3.35,5
0.37,105,21,0.9949,0.28,6.7,0.54,0.06,9,5.4,3.27,5
0.38,110,23,0.9926,0.31,7.4,0.29,0.035,10.9,1.7,3.07,5
0.38,155,52,0.995,0.25,6.3,0.27,0.038,9.4,5.8,3.28,6
0.39,149,29,0.99792,0.28,7,0.15,0.051,9,14.7,2.96,7
0.68,80,27,0.99192,0.3,7.5,0.23,0.03,10.5,1.2,3.05,5
0.53,109,17,0.9947,0.4,8.6,0.23,0.035,9.7,4.2,3.14,5
0.48,159,11,0.9956,0.65,6,0.45,0.08,9.4,9.7,3.04,5
0.6,179,46,0.99541,0.28,7.8,0.25,0.04,10.1,7.2,3.14,6
0.36,147,50,0.9972,0.26,6,0.19,0.048,8.9,12.4,3.3,6
0.49,92,15,0.99264,0.46,6.7,0.14,0.036,10.9,1.6,3.37,5
0.53,145,28,0.99433,0.19,6.4,0.42,0.043,10.98,9.3,3.23,5
0.47,90,24,0.99232,0.38,5.9,0.22,0.046,10,1.3,3.2,6
0.46,179,44,0.99666,0.3,6.7,0.24,0.07,8.9,10.2,2.86,6
0.46,53,12,0.9926,0.28,9.6,0.21,0.038,10.6,1.2,2.8,5
0.85,141,49,0.9934,0.35,6.6,0.18,0.049,10.2,1.5,3.43,7
0.47,138,43,0.9951,0.28,7.4,0.29,0.032,10.6,10.2,3.1,6
0.48,128,39,0.9924,0.1,5.9,0.37,0.057,10.1,1.6,3.24,5
0.27,172,49,0.9932,0.49,6.9,0.19,0.036,11.5,6.6,3.2,6
0.41,163,41,0.9949,0.24,7.3,0.41,0.057,9.9,6.8,3.2,6
0.5,116,21,0.99736,0.18,6.4,0.29,0.04,9.2,15,3.14,5
0.45,89,16,0.99416,0.31,8.4,0.2,0.054,9.5,2.8,2.96,6
0.4,217,53,0.996,0.49,6.6,0.325,0.049,9.3,7.7,3.16,5
0.51,192,35,0.99551,0.52,6.5,0.29,0.049,9.5,7.9,3.16,6
0.5,174,64,0.995,0.3,6.6,0.21,0.041,10.1,9.9,3.07,6
0.38,133,37,0.9978,0.68,7.5,0.23,0.047,8.8,11,2.99,5
0.67,177,44,0.99691,0.46,6.3,0.27,0.053,9.4,11.1,3.18,5
0.54,90,30,0.99164,0.18,6.8,0.14,0.047,11.2,1.4,3.27,6
0.44,105,35,0.9912,0.25,6.2,0.25,0.03,11.1,1.4,3.3,7
0.49,157,22,0.9938,0.36,7.2,0.2,0.028,10.6,2.5,3.48,6
0.62,138,28,0.99382,0.23,7.7,0.3,0.068,9.8,2,3.11,5
0.59,110,30,0.99164,0.43,6.8,0.28,0.03,12.5,7.6,3.08,8
0.49,124,20,0.9948,0.49,7.7,0.16,0.056,10.7,2,3.32,6
0.47,140,54,0.9967,0.35,6.4,0.23,0.042,9.2,10.3,3.23,5
0.44,180,30,0.9941,0.39,7.6,0.2,0.044,10.8,2.6,3.46,7
0.43,178,44,0.9954,0.28,7.9,0.14,0.041,9.2,1.8,3.45,6
0.38,96,33,0.98918,0,5.8,0.58,0.02,12.4,1.5,3.29,6
0.69,150,43,0.9922,0.36,6.4,0.15,0.034,11,1.8,3.42,8
0.5,182,47,0.99538,0.26,6.4,0.24,0.054,9.5,8.2,3.12,5
0.38,155,52,0.995,0.25,6.3,0.27,0.038,9.4,5.8,3.28,6
0.52,157,38,0.99642,0.15,6.6,0.56,0.037,9.4,10,3.28,5
0.55,138,21,0.99546,0.37,7.5,0.18,0.05,10.5,6.2,3.2,6
0.49,119,48,0.992,0.37,7.3,0.2,0.037,10.9,1.2,3.32,6
0.36,134,36,0.9898,0.36,6.5,0.24,0.027,12.5,2.2,3.28,7
0.37,107,27,0.99308,0.28,5.1,0.29,0.026,11,8.3,3.36,6
0.4,95,30,0.99032,0,6,0.59,0.037,10.9,0.8,3.1,4
0.54,118,33,0.99835,0.3,6.6,0.23,0.051,9,14.9,3.04,6
0.43,135,25,0.9984,0.27,7.4,0.16,0.05,8.7,15.5,2.9,7
0.45,103,41,0.99002,0.33,8,0.27,0.05,12.4,1.2,3,6
0.76,164,43,0.9953,0.27,6.6,0.23,0.043,9.5,5.6,3.27,5
0.5,118,29,0.9917,0.29,7.3,0.21,0.034,11,1.6,3.3,8
0.38,158,67,0.9927,0.45,7.5,0.18,0.041,10.6,4.6,3.01,6
0.48,237,69,1.00037,0.29,7.3,0.2,0.039,9.2,19.9,3.1,6
0.48,196,60,0.99562,0.42,6.6,0.28,0.044,9.4,8.2,3.14,5
0.64,234,44.5,0.9972,0.36,7.1,0.3,0.055,10.2,6.8,3.49,6
0.62,232,45,0.9955,0.29,6.2,0.34,0.047,10,7.6,3.35,6
0.46,219,42,0.99636,0.24,7,0.24,0.03,10.2,9,3.47,6
0.5,259,28.5,0.9964,0.18,6.1,0.4,0.051,8.8,9,3.19,5
0.51,223,47,0.99654,0.45,6.4,0.28,0.057,9.1,8.6,3.16,5
0.46,198,49,0.9977,0.28,6.3,0.34,0.047,9.5,14.7,3.23,5
0.48,87,20,0.9911,0.4,7.8,0.31,0.027,11.9,1.6,3.15,6
0.41,142,38,0.98892,0.31,5.9,0.34,0.03,12.9,2,3.4,7
0.6,141,29,0.99546,0.33,6.6,0.25,0.042,10.4,8.5,3.28,5
0.45,114,26,0.99105,0.2,5.9,0.14,0.04,11.4,1.6,3.25,6
0.45,169,48,0.99323,0.27,6.4,0.31,0.049,11.1,7.4,3.27,6
0.42,174,38,0.9983,0.34,7.3,0.24,0.05,9,15.4,3.03,6
0.36,63,22,0.9932,0.02,5.9,0.415,0.038,9.3,0.8,3.36,5
0.36,24,5,0.9911,0.31,7.9,0.37,0.037,11.9,2.85,3.19,6
0.49,204,52,0.998,0.24,7.1,0.32,0.05,8.8,13.1,3.1,5
0.4,122,36,0.99478,0.31,7.2,0.21,0.035,10.6,10.5,3.12,6
0.41,120,19,0.98952,0.27,6,0.31,0.042,12.7,2.3,3.32,7
0.38,144,34,0.9948,0.09,6.4,0.69,0.044,10.1,7.6,3.26,6
0.48,196,33,0.99556,0.12,6.4,0.62,0.06,8.9,4.7,3.22,5
0.39,121,33,0.99176,0.31,6.8,0.22,0.037,11.9,6.9,3.02,8
0.67,211,41,0.9955,0.24,6.8,0.25,0.053,9.5,4.55,3.37,6
0.38,105,30,0.99047,0.38,6.9,0.19,0.023,11.4,1.15,3.11,5
0.43,169,41,0.9959,0.42,8,0.28,0.045,10.6,7.1,3.17,5
0.49,188,12,0.9953,0.32,8.9,0.34,0.041,9.5,1.3,3.17,5
0.57,101,34,0.992,0.36,8,0.42,0.037,12.3,5,3.13,7
0.44,166,32,0.9986,0.26,7.6,0.23,0.067,9.2,15.3,3.03,4
0.51,164,10,0.99516,0.35,6.5,0.39,0.049,9.7,1.6,3.35,5
0.48,110,39,0.99855,0.22,5.7,0.22,0.044,9,16.65,3.24,6
0.43,106,43,0.99112,0.29,6.6,0.21,0.029,11.5,5.35,2.93,7
0.56,127,34,0.9929,0.29,6.4,0.28,0.052,10.5,1.6,3.48,7
0.32,73,21,0.98896,0.33,5.6,0.12,0.044,12.9,2.9,3.17,8
0.4,166,45,0.9928,0.28,7.8,0.23,0.042,11.5,4.75,2.96,5
0.5,160,69,0.99705,0.3,6.8,0.27,0.047,9.6,13,3.16,6
0.38,154,47,0.9967,0.27,6.8,0.25,0.076,9,10.7,3.05,5
0.54,156,33,0.992,0.49,14.2,0.27,0.037,11.1,1.1,3.15,6
0.47,169,35,0.99975,0.32,8.7,0.23,0.044,8.8,13.4,3.12,7
0.5,123,42,0.99318,0.36,7,0.17,0.055,11,6.4,3.11,8
0.53,152,28,0.99129,0.52,7.6,0.27,0.043,11.4,3.2,3.02,6
0.46,120,12,0.99192,0.38,7.2,0.26,0.061,10.4,1.5,3.18,5
0.41,168,87,0.992,0.12,6.8,0.27,0.04,10,1.3,3.18,5
0.54,137,57,0.99732,0.49,6.6,0.285,0.035,8.9,11.4,3.08,6
0.58,105,36,0.98963,0.3,5.8,0.28,0.026,12.75,3.9,3.26,6
0.51,118,50,0.99716,0.34,8.3,0.27,0.048,10.3,10.2,3.18,5
0.4,165,51,0.9908,0.37,7.3,0.23,0.041,12.2,1.9,3.26,8
0.59,211,32,0.99587,0.31,7.1,0.2,0.053,10.4,7.4,3.31,6
0.44,141,53,0.99206,0.09,6.7,0.31,0.039,10.1,1.4,3.12,5
0.58,75,14,0.99085,0.31,6,0.18,0.036,11.1,1.4,3.34,8
0.52,131,26,0.99133,0.41,7.5,0.2,0.05,11.1,1.2,3.19,5
0.64,138,26,0.9956,0.29,6.2,0.33,0.042,9.5,1.3,3.77,5
0.38,82,15,0.99588,0.19,6.6,0.35,0.06,9.9,10.5,3.13,4
0.5,115,18,0.9904,0.26,5.6,0.25,0.037,12.6,3.6,3.42,6
0.5,185,48,0.9934,0.29,6.3,0.24,0.052,9.4,1.6,3.21,5
0.52,143,17,0.9937,0.49,6.2,0.2,0.065,9.2,1.6,3.22,6
0.5,104,16,0.99216,0.37,7,0.18,0.043,10.8,1.5,3.18,5
0.45,163,45,0.9941,0.3,7.4,0.3,0.053,10.3,5.2,3.12,6
0.38,94,15,0.99045,0.26,6.7,0.24,0.03,12.7,5.4,3.15,6
0.56,191,54,0.9966,0.32,7.5,0.23,0.038,9.7,9.2,3.04,6
0.52,95,30,0.99158,0.38,7.5,0.305,0.047,11.5,1.4,3.22,7
0.52,187,53,0.996,0.19,7.1,0.26,0.051,9.7,8.2,3.16,5
1,120,21,0.99188,0.21,9.6,0.655,0.039,12.6,2,3,6
0.46,212,46,0.9968,0.49,8.1,0.2,0.048,10,11.8,3.09,7
0.42,192,76,0.9976,0.65,7.2,0.46,0.05,8.7,10.4,3.16,5
0.72,165,49,0.9952,0.28,8,0.23,0.048,9.5,2.7,3.26,6
0.52,37,15,0.99004,0.3,7.1,0.12,0.018,11.9,3.1,3.02,7
0.45,197,83,0.9981,0.28,8,0.22,0.053,9.8,14,3.14,6
0.41,75,21,0.99012,0.33,6.2,0.2,0.028,13.5,5.4,3.36,7
0.49,159,46,0.99519,0.3,6,0.32,0.174,9.4,7.3,3.18,5
0.4,100,35,0.99318,0.42,7,0.23,0.062,9.2,1.1,3.04,5
0.47,166,60,0.9946,0.3,6.6,0.3,0.17,9.4,4.8,3.18,5
0.49,112,28,0.99606,0.27,6.6,0.26,0.048,9.7,11.8,2.87,6
0.45,134,20,0.99475,0.31,6.5,0.36,0.061,9,4.1,3.18,6
0.39,93,30,0.9917,0.42,8.2,0.28,0.031,11.4,1.8,3.09,5
0.48,153,46,0.99576,0.37,6.6,0.23,0.036,9.4,8.5,3.2,6
0.56,184,22,0.99711,0.45,6.2,0.36,0.06,9.8,10.4,3.31,6
0.59,124,45,0.997,0.36,7.1,0.2,0.042,9.5,11.6,2.92,7
0.62,166,24,0.9948,0.41,7.1,0.2,0.054,10.5,2.1,3.48,6
0.31,81,17,0.99512,0.32,6.7,0.15,0.034,10,7.9,3.29,6
0.49,74,19,0.98853,0.37,5.8,0.18,0.036,12.7,1.2,3.09,7
0.3,209,61,0.9941,0.49,7.5,0.23,0.049,11.1,7.7,3.14,7
0.54,120,29,0.9934,0.03,6.2,0.35,0.064,9.1,1.2,3.22,5
0.54,166,58,0.99855,0.49,8.2,0.38,0.042,9.4,13.6,3.1,5
0.84,59,13,0.98975,0.33,5.2,0.155,0.028,11.9,1.6,3.3,8
0.68,93,33,0.99094,0.33,7.6,0.1,0.031,11.2,1,3.06,6
0.78,183,79.5,0.99742,0.41,6.8,0.15,0.044,10.2,12.9,3.24,6
0.66,106,35,0.99026,0.32,6.8,0.17,0.04,12,1.4,3.16,5
0.42,138,20,0.9943,0.23,6.5,0.32,0.051,10.7,8.5,3.03,5
0.47,105,25,0.9925,0.24,5.3,0.165,0.051,9.1,1.1,3.32,5
0.45,111,38,0.99,0.34,6.8,0.17,0.04,12.9,2,3.24,6
0.38,126,42,0.99048,0.28,6.8,0.25,0.035,12.6,5,3.12,7
0.51,153,34,0.9953,0.24,7.4,0.49,0.03,12,15.1,3.13,7
0.41,65,19,0.991,0.47,7.2,0.32,0.044,12.6,5.1,3.03,4
0.46,105,21,0.9939,0.21,6.4,0.21,0.097,9.6,5.1,3.07,5
0.34,111,31,0.98816,0.1,4.4,0.46,0.024,13.1,2.8,3.48,6
0.38,168,41,0.9951,0.31,6.6,0.26,0.138,9.3,4.8,3.2,5
0.59,204,62,0.9983,0.48,7.4,0.31,0.042,9.4,14.2,3.06,5
0.66,212,50,0.99803,0.17,6.3,0.38,0.08,9.4,8.8,3.47,4
0.54,203,48,0.9958,0.32,6.5,0.24,0.038,9.7,7.6,3.45,7
0.48,130,20,0.99178,0.49,7.6,0.21,0.047,11.1,2.5,3.15,5
0.44,168,33,0.99825,0.3,7.4,0.16,0.056,8.7,13.7,2.9,7
0.64,124,42,0.99324,0.31,5.8,0.23,0.046,10.8,4.5,3.31,6
0.44,134,31,0.99408,0.27,6,0.28,0.036,13,15.5,3.19,7
0.36,85,15,0.99406,0.27,8,0.25,0.036,11.2,9.7,2.99,6
0.62,189,56,0.9946,0.26,8.3,0.14,0.049,9.5,1.5,3.21,6
0.35,131,56,0.994,0.28,6.1,0.25,0.055,10.9,10,3.22,6
0.53,161,37,0.9954,0.49,6.4,0.26,0.037,9.7,6.4,3.38,6
0.64,96,30,0.9926,0.31,6.7,0.23,0.046,10.7,2.1,3.33,8
0.72,78,33,0.99146,0.35,6.6,0.17,0.03,11.3,2.6,3.22,6
0.48,186,14,0.9949,0.42,9.2,0.32,0.046,9.6,1.3,3.08,5
0.43,175,35,0.9918,0.29,6.3,0.26,0.043,11.6,2.2,3.38,6
0.41,95,28,0.99164,0.23,7.7,0.38,0.03,13.6,10.8,2.93,6
0.53,209,62,0.99544,0.42,6.3,0.26,0.045,9.5,7.1,3.2,6
0.58,109,36,0.9918,0.28,7.7,0.39,0.035,12.2,4.9,3.19,7
0.6,91,27,0.99184,0.34,6.5,0.32,0.044,12,5.7,3.28,7
0.42,93,22,0.9928,0.26,6,0.2,0.049,11,6.8,3.15,6
0.33,140,35,0.9927,0.28,6.7,0.13,0.046,10.1,1.2,3.33,7
0.47,124,42,0.99204,0.4,5,0.27,0.076,10.1,1.2,3.32,6
0.49,127,36,0.99412,0.24,6.8,0.27,0.098,9.6,4.6,3.15,6
0.32,84,32,0.9938,0.49,9,0.3,0.039,11.5,7.2,2.94,6
0.75,145,47,0.993,0.47,5.4,0.29,0.052,10,3,3.29,6
0.41,87,23,0.99082,0.25,6.6,0.425,0.034,11.4,2.35,3.05,6
0.48,143,63,0.9912,0.36,6.7,0.19,0.026,11,1.1,3.27,6
0.42,140,56,0.99042,0.27,6.1,0.28,0.03,12.5,4.7,3.16,8
0.46,126,17,0.9943,0.26,6,0.555,0.053,9.1,4.5,3.24,5
0.58,149,51,0.99544,0.29,6.8,0.28,0.052,10.4,11.9,3.02,6
0.79,88,18,0.99144,0.48,6.5,0.32,0.026,12.7,8,3.22,4
0.46,110,8,0.9966,0.52,6.6,0.36,0.046,9.4,11.3,3.07,5
0.42,123,39,0.992,0.32,7,0.24,0.037,11.2,1.3,3.17,8
0.4,70,15,0.98994,0.27,5.8,0.315,0.026,11.9,1.55,3.37,8
0.4,116,23,0.9941,0.39,7.6,0.28,0.052,10.4,1.9,3.25,6
0.54,61,14,0.99144,0.36,6,0.17,0.042,10.8,1.7,3.22,6
0.42,117,30,0.992,0.35,7.7,0.27,0.03,12.2,5.3,3.11,6
0.4,45,9,0.99144,0.33,6.7,0.27,0.034,10.5,3.6,3.08,6
0.41,99,26,0.99449,0.34,5.1,0.26,0.034,9.2,6.4,3.23,6
0.64,234,44.5,0.9972,0.36,7.1,0.3,0.055,10.2,6.8,3.49,6
0.61,163,33,0.9939,0,4.8,0.34,0.028,9.9,6.5,3.36,6
0.75,109,25,0.9932,0.44,7.6,0.16,0.043,10.3,1.4,3.11,6
0.53,209,62,0.99544,0.42,6.3,0.26,0.045,9.5,7.1,3.2,6
0.61,65,15,0.9927,0.24,6,0.1,0.041,10.3,1.1,3.61,7
0.62,148,25,0.9976,0.25,7.4,0.28,0.053,9.2,11.9,3.1,5
0.62,161,34,0.9935,0.4,7.4,0.17,0.037,11.5,5.5,3.05,4
0.77,100,35,0.99076,0.26,5.5,0.16,0.032,12,1.5,3.43,6
0.59,132,41,0.9935,0.28,7.2,0.22,0.06,11.3,7.2,3.08,6
0.73,113,12,0.99176,0.38,6.2,0.23,0.044,11.4,1.6,3.3,5
0.5,167,48,1.001,0.4,6.8,0.28,0.048,8.7,22,2.93,5
0.68,140,31,0.995,0.26,6.5,0.19,0.04,9.5,5.2,3.26,6
0.48,155,45,0.99238,0.22,6.3,0.18,0.043,10.2,1.5,3.19,5
0.45,103,20,0.9925,0.26,5.2,0.38,0.053,12.2,7.7,3.27,6
0.63,185,34,0.9944,0.14,5.9,0.37,0.036,9.8,6.3,3.17,5
0.69,154,43,0.9934,0.35,7.6,0.17,0.047,11.1,1.6,3.36,6
0.34,85,25,0.99086,0.27,6.7,0.41,0.033,11.7,2.6,3.05,6
0.43,148,30,0.98964,0.38,6.5,0.33,0.047,12.7,2.5,3.17,6
0.58,115,38,0.99235,0.31,7,0.32,0.031,12.2,6.4,3.38,7
0.36,77,12,0.9905,0.27,5.8,0.2,0.031,10.9,1.4,3.25,7
0.75,122,39,0.99058,0.44,6.4,0.16,0.051,11.3,1.2,3.11,7
0.39,131,51,0.99184,0.19,6.1,0.21,0.046,10.5,1.4,3.22,5
0.44,131,16,0.9965,0.33,6.5,0.18,0.051,8.7,8,3.28,7
0.67,168,47,0.9994,0.33,7,0.28,0.043,8.8,14.6,3.34,6
0.48,154,25,0.99499,0.1,7.2,0.615,0.068,9.7,1.4,3.2,4
0.69,79,24,0.99053,0.31,6.5,0.29,0.035,11.4,1.7,3.27,7
0.77,116,30,0.9949,0.35,7.4,0.2,0.038,10.3,2.1,3.49,7
0.41,67,10,0.992,0.32,6.4,0.43,0.048,11.4,1.4,3.08,5
0.64,105,22,0.989,0.28,6.2,0.28,0.026,13.1,4.3,2.98,8
0.41,160,56,0.99841,0.68,7.6,0.2,0.042,8.7,12.9,3.05,5
0.44,195,52,0.9987,0.49,9,0.22,0.048,10.2,10.4,3.31,6
0.69,120,16,0.9933,0.35,6,0.28,0.037,10.6,1.9,3.16,5
0.54,111,32,0.99455,0.34,6.7,0.28,0.048,11,8.9,3.25,7
0.36,150,42,0.9947,0.35,6.9,0.25,0.034,11.5,9.2,3.21,6
0.75,138,70,0.9917,0.37,6.5,0.21,0.048,11.4,2.5,3.33,7
0.62,114,19,0.99295,0.27,6.6,0.26,0.04,10.5,1.5,3.36,6
0.4,191,54,0.9954,0.49,6.7,0.26,0.047,10.3,8.3,3.23,6
0.4,156,28,0.991,0.36,6.8,0.45,0.033,12.4,5,3.11,7
0.29,117,31,0.99815,0.28,7.7,0.34,0.04,9.2,11,3.27,6
0.51,105,28,0.99224,0.47,6.2,0.27,0.146,10.1,1.2,3.23,5
